WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,WindSpeed,StationPressure,MinimumTemperature,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,WindDirection,RelativeHumidity
48413,WICHIAN BURI,\u0e27\u0e34\u0e40\u0e0a\u0e35\u0e22\u0e23\u0e1a\u0e38\u0e23\u0e35,\u0e40\u0e1e\u0e0a\u0e23\u0e1a\u0e39\u0e23\u0e13\u0e4c,15.65700,101.10800,27.0,07-08-2019,07:00:00,23.3,0.0,1000.25,26.4,0.00,1008.21,0.00,10.00,28.67,000,80
48415,AYUTTHAYA,\u0e1e\u0e23\u0e30\u0e19\u0e04\u0e23\u0e28\u0e23\u0e35\u0e2d\u0e22\u0e38\u0e18\u0e22\u0e32,\u0e1e\u0e23\u0e30\u0e19\u0e04\u0e23\u0e28\u0e23\u0e35\u0e2d\u0e22\u0e38\u0e18\u0e22\u0e32,14.53472,100.72500,27.7,07-08-2019,07:00:00,24.8,5.6,1007.60,26.0,0.00,1008.71,0.00,8.00,31.36,190,84
48416,THA TUM,\u0e17\u0e48\u0e32\u0e15\u0e39\u0e21,\u0e2a\u0e38\u0e23\u0e34\u0e19\u0e17\u0e23\u0e4c,15.31667,103.68333,26.5,07-08-2019,07:00:00,25.1,0.0,994.36,26.0,0.00,1009.10,0.00,8.00,31.79,000,92
48417,NAKORNNAYOK,\u0e19\u0e04\u0e23\u0e19\u0e32\u0e22\u0e01,\u0e19\u0e04\u0e23\u0e19\u0e32\u0e22\u0e01,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},19.8,07-08-2019,07:00:00,19.5,7.4,874.24,18.7,0.00,1009.42,0.00,.05,22.62,210,98
48418,BUA CHUM,\u0e1a\u0e31\u0e27\u0e0a\u0e38\u0e21  ,\u0e25\u0e1e\u0e1a\u0e38\u0e23\u0e35,15.26667,101.18736,27.0,07-08-2019,07:00:00,24.8,7.4,1002.66,25.4,0.00,1008.54,0.00,10.00,31.38,190,88
48419,PATHUMTHANI,\u0e1b\u0e17\u0e38\u0e21\u0e18\u0e32\u0e19\u0e35 \u0e2a\u0e01\u0e29.,\u0e1b\u0e17\u0e38\u0e21\u0e18\u0e32\u0e19\u0e35,14.10000,100.61667,28.0,07-08-2019,07:00:00,25.9,3.7,1008.57,27.0,0.00,1009.37,0.00,9.00,33.37,240,88
48420,Samut Prakarn,\u0e2a\u0e21\u0e38\u0e17\u0e23\u0e1b\u0e23\u0e32\u0e01\u0e32\u0e23 \u0e2a\u0e01\u0e29.,\u0e2a\u0e21\u0e38\u0e17\u0e23\u0e1b\u0e23\u0e32\u0e01\u0e32\u0e23,13.51667,100.76167,29.2,07-08-2019,07:00:00,25.8,7.4,1008.03,28.7,0.00,1008.48,0.00,10.00,33.24,230,82
48421,THONG PHAPHUM,\u0e17\u0e2d\u0e07\u0e1c\u0e32\u0e20\u0e39\u0e21\u0e34,\u0e01\u0e32\u0e0d\u0e08\u0e19\u0e1a\u0e38\u0e23\u0e35,14.74222,98.63639,25.5,07-08-2019,07:00:00,24.8,0.0,998.54,24.8,0.20,1009.94,0.60,3.00,31.25,000,96
48425,SUPHAN BURI,\u0e2a\u0e38\u0e1e\u0e23\u0e23\u0e13\u0e1a\u0e38\u0e23\u0e35,\u0e2a\u0e38\u0e1e\u0e23\u0e23\u0e13\u0e1a\u0e38\u0e23\u0e35,14.47444,100.13889,27.8,07-08-2019,07:00:00,23.7,3.7,1008.17,26.9,0.00,1009.18,0.00,10.00,29.36,210,79
48426,LOP BURI,\u0e25\u0e1e\u0e1a\u0e38\u0e23\u0e35,\u0e25\u0e1e\u0e1a\u0e38\u0e23\u0e35,14.79972,100.64500,26.5,07-08-2019,07:00:00,23.6,0.0,1007.05,26.2,0.00,1008.88,0.01,8.00,29.08,000,84
