WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,MeanSeaLevelPressure,WindSpeed,AirTemperature,VaporPressure,WindDirection,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.03,09-20-2019,16:00:00,0.00,1005.13,0.0,30.7,34.06,000,0.20,77,26.2,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.58,09-20-2019,16:00:00,5.80,1005.97,0.0,27.5,30.97,000,6.30,84,24.6,12.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,981.61,09-20-2019,16:00:00,0.60,1003.72,5.6,28.8,33.57,280,1.80,85,26.0,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,992.22,09-20-2019,16:00:00,0.00,1006.49,5.6,29.2,32.67,320,40.10,81,25.5,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.46,09-20-2019,16:00:00,0.30,1005.76,0.0,28.0,33.37,000,32.50,88,25.9,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.84,09-20-2019,16:00:00,2.30,1006.02,3.7,29.6,33.79,230,12.40,82,26.1,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.57,09-20-2019,16:00:00,18.40,1004.74,0.0,26.8,30.72,000,20.90,87,24.5,8.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.84,09-20-2019,16:00:00,13.50,1006.09,1.9,29.2,34.41,110,26.60,85,26.4,8.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.26,09-20-2019,16:00:00,0.70,1005.88,7.4,27.5,31.52,180,1.40,86,24.9,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,989.03,09-20-2019,16:00:00,3.10,1006.49,0.0,27.5,32.36,000,3.10,88,25.4,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.52,09-20-2019,16:00:00,0.00,1005.01,9.3,33.2,29.09,090,1.70,57,23.6,12.00
