WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,StationPressure,Rainfall24Hr,AirTemperature,Rainfall,LandVisibility,WindDirection,MeanSeaLevelPressure,VaporPressure
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-14-2019,16:00:00,24.3,93,972.67,29.30,25.5,28.50,10.00,000,1006.27,30.44
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,09-14-2019,16:00:00,24.9,59,985.82,0.30,34.1,0.00,15.00,000,1003.81,31.55
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-14-2019,16:00:00,24.4,52,981.86,0.20,35.7,0.00,10.00,000,1003.93,30.53
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-14-2019,16:00:00,22.5,52,974.64,0.00,33.7,0.00,12.00,000,1003.72,27.26
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-14-2019,16:00:00,24.5,75,970.27,6.20,29.4,0.20,8.00,000,1005.34,30.80
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.6,09-14-2019,16:00:00,24.3,60,975.08,0.20,33.0,0.00,16.00,050,1004.07,30.40
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,5.6,09-14-2019,16:00:00,23.6,52,996.74,6.70,35.0,0.00,11.00,070,1003.83,29.05
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.1,09-14-2019,16:00:00,25.8,61,985.00,0.40,34.3,0.00,18.00,060,1004.37,33.20
48353,LOEI,เลย,เลย,17.45000,101.73333,9.3,09-14-2019,16:00:00,22.5,52,976.66,0.70,33.8,0.00,15.00,110,1004.58,27.18
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,5.6,09-14-2019,16:00:00,23.4,58,985.24,0.20,32.9,0.20,15.00,070,1004.97,28.77
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,09-14-2019,16:00:00,24.7,64,983.98,0.00,32.5,0.00,15.00,010,1005.26,31.11
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,09-14-2019,16:00:00,23.7,60,985.24,0.00,32.5,0.00,15.00,000,1004.32,29.38
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,09-14-2019,16:00:00,23.8,57,988.67,0.00,33.4,0.00,12.00,000,1005.02,29.50
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-14-2019,16:00:00,23.7,58,988.17,0.00,33.0,0.00,12.00,000,1005.20,29.25
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.3,09-14-2019,16:00:00,22.9,68,980.75,0.00,29.5,0.00,15.00,120,1006.28,27.96
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,20.4,09-14-2019,16:00:00,27.2,76,998.73,0.50,32.0,0.50,10.00,080,1004.41,36.01
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,9.3,09-14-2019,16:00:00,23.9,71,998.39,1.40,29.7,0.00,10.00,050,1004.51,29.71
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-14-2019,16:00:00,23.6,52,988.26,1.50,35.0,0.00,12.00,000,1004.23,29.05
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,11.1,09-14-2019,16:00:00,26.3,78,980.82,1.20,30.5,1.20,6.00,330,1002.79,34.22
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.6,09-14-2019,16:00:00,25.2,67,990.82,0.00,32.1,0.00,8.00,080,1004.94,32.02
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-14-2019,16:00:00,24.9,60,988.27,0.20,33.8,0.00,12.00,000,1004.25,31.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,11.1,09-14-2019,16:00:00,23.4,58,999.49,4.60,32.8,0.00,10.00,310,1004.60,28.85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,5.6,09-14-2019,16:00:00,24.1,56,989.70,4.00,34.1,4.00,12.00,010,1002.54,30.08
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.6,09-14-2019,16:00:00,25.7,63,995.46,0.00,33.7,0.00,15.00,040,1004.55,33.08
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,09-14-2019,16:00:00,24.1,63,983.25,8.20,32.0,0.00,10.00,080,1004.53,30.08
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,7.4,09-14-2019,16:00:00,25.3,64,988.17,0.00,33.0,0.00,10.00,060,1005.30,32.16
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,09-14-2019,16:00:00,24.9,66,988.90,0.00,32.0,0.00,12.00,000,1004.43,31.52
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,7.4,09-14-2019,16:00:00,26.7,70,985.22,0.80,32.9,0.00,10.00,010,1003.68,34.96
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-14-2019,16:00:00,22.9,70,952.77,3.00,29.0,0.00,11.00,000,1003.25,27.83
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,9.3,09-14-2019,16:00:00,26.5,71,1000.17,0.00,32.5,0.00,8.00,010,1004.05,34.68
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,11.1,09-14-2019,16:00:00,20.2,72,911.49,0.50,25.7,0.50,8.00,360,1005.15,23.63
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,9.3,09-14-2019,16:00:00,24.7,91,989.34,17.80,26.3,8.50,6.00,140,1005.33,31.13
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,09-14-2019,16:00:00,25.8,62,1000.15,0.50,34.2,0.00,10.00,000,1004.08,33.28
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.4,09-14-2019,16:00:00,24.7,61,994.29,5.50,33.3,0.00,10.00,010,1004.72,31.03
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,09-14-2019,16:00:00,27.2,77,1002.83,12.70,31.8,1.90,10.00,000,1004.72,36.18
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,3.7,09-14-2019,16:00:00,22.1,52,983.59,0.20,33.2,0.00,12.00,060,1003.97,26.56
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,13.0,09-14-2019,16:00:00,23.5,62,986.81,20.20,31.7,0.00,11.00,080,1004.15,28.91
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,09-14-2019,16:00:00,24.0,59,988.43,19.60,33.0,0.00,10.00,080,1004.23,29.83
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,11.1,09-14-2019,16:00:00,22.9,60,990.86,0.40,31.8,0.00,10.00,010,1004.64,27.99
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-14-2019,16:00:00,25.1,67,990.73,2.20,32.0,0.00,10.00,000,1005.29,31.81
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,22.2,09-14-2019,16:00:00,26.2,70,990.06,0.00,32.5,0.00,10.00,040,1004.43,34.07
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-14-2019,16:00:00,25.3,60,1000.97,0.10,34.3,0.00,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1003.91,32.29
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.6,09-14-2019,16:00:00,25.2,72,996.05,17.30,30.7,9.20,10.00,250,1003.88,32.01
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.4,09-14-2019,16:00:00,25.6,79,1003.34,1.60,29.7,0.00,8.00,090,1004.44,32.83
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-14-2019,16:00:00,21.8,53,989.85,4.50,32.5,0.00,8.00,000,1004.23,26.04
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,09-14-2019,16:00:00,20.1,98,871.57,14.00,20.4,14.00,1.00,050,1006.05,23.49
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,09-14-2019,16:00:00,24.1,60,997.79,12.20,32.8,0.00,10.00,000,1003.54,29.99
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.4,09-14-2019,16:00:00,27.0,82,1003.99,1.60,30.5,0.10,8.00,050,1004.79,35.72
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.3,09-14-2019,16:00:00,24.9,73,1004.67,5.50,30.3,0.00,10.00,230,1005.11,31.48
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-14-2019,16:00:00,24.3,63,993.87,7.20,32.3,0.00,10.00,000,1004.95,30.40
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,09-14-2019,16:00:00,26.1,66,1003.47,0.20,33.2,0.00,12.00,020,1004.45,33.80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,9.3,09-14-2019,16:00:00,23.3,74,1003.53,23.70,28.4,0.30,8.00,020,1005.34,28.59
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-14-2019,16:00:00,24.2,59,1004.67,0.20,33.3,0.00,9.00,000,1005.42,30.16
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.3,09-14-2019,16:00:00,24.8,68,1004.40,15.40,31.3,0.00,10.00,170,1005.09,31.23
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.6,09-14-2019,16:00:00,24.2,86,1003.95,20.30,26.8,19.10,6.00,360,1004.65,30.18
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,13.0,09-14-2019,16:00:00,23.4,58,983.46,2.10,32.8,0.00,10.00,050,1004.16,28.85
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,7.4,09-14-2019,16:00:00,24.9,64,987.89,3.70,32.5,0.00,11.00,070,1004.26,31.40
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.3,09-14-2019,16:00:00,25.7,72,988.46,11.00,31.5,0.00,10.00,360,1004.61,33.10
