WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,StationPressure,MeanSeaLevelPressure,WindDirection,Rainfall,Rainfall24Hr,DewPoint,AirTemperature,LandVisibility,WindSpeed
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,76,09-06-2019,22:00:00,30.29,1008.43,1008.71,270,0.00,0.60,24.3,29.0,10.00,9.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,74,09-06-2019,22:00:00,29.74,1005.85,1008.97,250,0.00,0.10,23.9,29.0,10.00,9.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,76,09-06-2019,22:00:00,29.60,1002.16,1009.08,000,0.00,0.40,23.9,28.5,10.00,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,89,09-06-2019,22:00:00,31.85,1003.48,1009.09,000,0.00,16.50,25.1,27.1,10.00,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,85,09-06-2019,22:00:00,28.52,1008.62,1009.89,180,0.00,1.60,23.3,25.9,10.00,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,77,09-06-2019,22:00:00,29.19,1009.01,1009.44,000,0.00,0.10,23.6,28.0,11.00,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,85,09-06-2019,22:00:00,28.44,997.54,1009.88,000,0.00,0.01,23.2,26.0,8.00,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,73,09-06-2019,22:00:00,27.77,1008.71,1009.42,000,0.00,0.00,22.8,28.1,10.00,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,73,09-06-2019,22:00:00,29.19,1006.60,1009.02,230,0.00,0.00,23.6,29.0,9.00,7.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,85,09-06-2019,22:00:00,32.96,1008.89,1009.41,000,0.00,0.60,25.7,28.5,10.00,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,79,09-06-2019,22:00:00,29.36,1003.89,1009.04,260,0.00,0.30,23.7,27.8,11.00,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,88,09-06-2019,22:00:00,32.36,1009.19,1009.60,000,0.00,7.90,25.4,27.5,7.00,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,94,09-06-2019,22:00:00,31.65,1007.35,1010.14,000,0.00,9.50,25.0,26.0,8.00,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,81,09-06-2019,22:00:00,29.60,1008.88,1009.67,300,0.00,0.50,23.9,27.5,10.00,11.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,91,09-06-2019,22:00:00,31.33,1009.61,1010.08,050,0.00,0.50,24.8,26.4,6.00,1.9
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,86,09-06-2019,22:00:00,31.52,1009.64,1010.32,000,0.00,0.00,24.9,27.5,8.00,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,90,09-06-2019,22:00:00,31.05,1008.47,1010.00,000,0.00,0.00,24.7,26.4,7.00,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,92,09-06-2019,22:00:00,32.58,1009.89,1010.81,000,0.00,0.00,25.5,26.9,10.00,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,80,09-06-2019,22:00:00,30.98,1009.94,1010.62,000,0.00,0.00,24.6,28.5,10.00,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,88,09-06-2019,22:00:00,30.43,1009.54,1010.34,000,0.00,0.00,24.3,26.5,7.00,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,90,09-06-2019,22:00:00,31.94,1009.44,1010.08,000,0.00,0.00,25.1,27.0,10.00,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,88,09-06-2019,22:00:00,31.77,1010.12,1010.53,000,0.00,0.00,25.1,27.2,10.00,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,87,09-06-2019,22:00:00,30.72,1007.48,1011.71,000,0.00,0.00,24.5,26.8,5.00,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,93,09-06-2019,22:00:00,30.36,1006.65,1008.27,000,0.00,0.00,24.3,25.6,10.00,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,94,09-06-2019,22:00:00,31.08,1006.67,1010.17,000,0.00,0.00,24.7,25.7,8.00,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,87,09-06-2019,22:00:00,29.05,1008.73,1010.09,000,0.00,0.00,23.6,25.9,8.00,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,95,09-06-2019,22:00:00,33.10,1009.04,1009.93,000,0.00,0.00,25.7,26.6,10.00,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,92,09-06-2019,22:00:00,30.46,1006.74,1010.32,000,0.00,0.00,24.3,25.8,10.00,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,81,09-06-2019,22:00:00,30.56,1009.58,1010.01,000,0.00,0.00,24.4,28.0,10.00,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,95,09-06-2019,22:00:00,31.74,1008.71,1009.71,000,0.00,0.00,25.0,25.9,10.00,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,83,09-06-2019,22:00:00,27.92,1009.73,1010.55,090,0.00,0.00,22.9,26.0,10.00,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,89,09-06-2019,22:00:00,31.66,1008.73,1010.55,000,0.00,0.00,25.0,27.0,10.00,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,83,09-06-2019,22:00:00,31.39,1009.79,1010.54,170,0.00,0.00,24.8,28.0,10.00,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,86,09-06-2019,22:00:00,29.89,1006.69,1010.71,990,0.00,0.00,24.0,26.5,9.00,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,92,09-06-2019,22:00:00,31.79,1010.50,1011.19,000,0.00,0.00,25.1,26.5,10.00,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,87,09-06-2019,22:00:00,29.41,1009.71,1010.83,000,0.00,0.00,23.8,26.1,10.00,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,88,09-06-2019,22:00:00,30.81,1007.77,1010.70,000,0.00,0.00,24.5,26.7,10.00,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,90,09-06-2019,22:00:00,32.61,1009.84,1010.54,000,0.00,0.00,25.5,27.2,10.00,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,81,09-06-2019,22:00:00,29.60,1006.79,1010.92,000,0.00,0.00,23.9,27.5,6.00,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,74,09-06-2019,22:00:00,28.78,1009.97,1010.56,000,0.00,0.00,23.4,28.5,10.00,0.0
