WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,WindDirection,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MaximumTemperature,Rainfall,LandVisibility,VaporPressure,StationPressure
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-12-2019,19:00:00,54,000,1009.18,0.0,20.1,0.01,30.5,35.0,0.00,9.00,23.45,1008.42
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-12-2019,19:00:00,69,220,1009.08,9.3,23.6,0.60,29.8,35.5,0.00,10.00,29.08,1008.38
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-12-2019,19:00:00,73,000,1008.93,0.0,25.3,18.30,30.7,35.0,0.00,8.00,32.30,1008.23
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-12-2019,19:00:00,69,000,1008.86,0.0,23.6,9.00,30.0,33.6,0.00,10.00,29.19,987.88
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-12-2019,19:00:00,73,000,1008.25,0.0,24.9,8.40,30.3,33.2,0.00,8.00,31.48,991.70
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-12-2019,19:00:00,82,000,1009.02,0.0,27.0,27.10,30.5,33.0,0.00,8.00,35.72,992.74
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-12-2019,19:00:00,64,000,1008.68,0.0,22.4,0.00,30.0,33.0,0.00,10.00,27.01,987.01
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-12-2019,19:00:00,82,230,1009.65,3.7,22.7,20.20,26.1,30.1,0.00,12.00,27.58,966.18
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-12-2019,19:00:00,78,000,1008.70,0.0,24.2,6.00,28.4,34.0,0.00,10.00,30.23,988.21
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-12-2019,19:00:00,92,000,1010.15,0.0,26.1,1.20,27.5,32.7,0.00,10.00,33.78,989.31
