WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall24Hr,DewPoint,Rainfall,AirTemperature,LandVisibility,VaporPressure,MeanSeaLevelPressure,StationPressure,WindDirection,RelativeHumidity
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,08-14-2019,01:00:00,0.00,23.3,0.00,27.1,10.00,28.59,1010.70,1009.98,000,80
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,7.4,08-14-2019,01:00:00,0.00,24.3,0.00,28.9,10.00,30.37,1010.02,1007.59,240,76
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,14.8,08-14-2019,01:00:00,0.00,26.2,0.00,29.0,10.00,33.99,1010.12,1009.60,290,85
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,08-14-2019,01:00:00,0.01,24.6,0.00,27.8,8.00,31.00,1010.13,1004.97,000,83
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.3,08-14-2019,01:00:00,5.10,26.1,0.00,27.4,7.00,33.86,1009.79,1009.38,170,93
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-14-2019,01:00:00,3.60,25.3,0.00,26.0,8.00,32.20,1010.01,1007.23,000,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,3.7,08-14-2019,01:00:00,0.00,22.9,0.00,26.3,10.00,27.93,1010.52,1009.73,330,82
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,08-14-2019,01:00:00,18.80,24.7,0.00,25.1,6.00,31.04,1010.37,1009.91,050,97
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-14-2019,01:00:00,6.00,24.0,0.00,25.2,7.00,29.89,1010.70,1010.01,000,93
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,08-14-2019,01:00:00,12.60,24.2,0.00,25.4,6.00,30.25,1010.46,1008.91,200,93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,08-14-2019,01:00:00,24.50,24.6,0.10,25.3,10.00,30.87,1011.40,1010.48,000,96
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,5.6,08-14-2019,01:00:00,0.00,24.3,0.00,28.0,10.00,30.28,1010.96,1010.27,270,80
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,08-14-2019,01:00:00,15.60,23.9,0.00,24.2,9.00,29.66,1011.26,1010.45,000,98
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,08-14-2019,01:00:00,0.00,24.7,0.00,26.3,10.00,31.13,1010.73,1010.09,000,91
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,08-14-2019,01:00:00,0.00,25.1,0.00,27.0,10.00,31.94,1010.57,1010.16,000,90
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,08-14-2019,01:00:00,0.01,23.9,0.00,24.8,5.00,29.69,1013.43,1009.16,000,95
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-14-2019,01:00:00,0.00,24.3,0.00,24.6,6.00,30.38,1010.80,1009.18,000,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-14-2019,01:00:00,0.20,24.2,0.00,24.8,7.00,30.22,1011.15,1007.64,000,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,08-14-2019,01:00:00,1.80,24.8,0.00,26.2,8.00,31.22,1010.50,1009.14,000,92
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,08-14-2019,01:00:00,5.50,25.1,0.00,26.5,10.00,31.79,1011.62,1010.73,000,92
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-14-2019,01:00:00,0.00,24.7,0.00,26.0,10.00,31.11,1010.45,1006.87,000,93
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-14-2019,01:00:00,0.00,24.2,0.00,28.5,10.00,30.15,1010.76,1010.33,000,78
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,08-14-2019,01:00:00,32.80,24.3,2.20,28.8,9.00,30.46,1009.91,1008.92,000,77
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,18.5,08-14-2019,01:00:00,0.00,25.0,0.00,29.1,10.00,31.61,1010.96,1010.15,280,78
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-14-2019,01:00:00,0.00,25.1,0.00,26.5,10.00,31.79,1010.82,1009.00,000,92
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,08-14-2019,01:00:00,0.01,24.7,0.00,27.9,10.00,31.20,1010.77,1010.02,240,83
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.7,08-14-2019,01:00:00,0.01,24.8,0.00,25.8,8.00,31.27,1011.13,1007.11,260,94
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-14-2019,01:00:00,0.00,24.5,0.00,26.2,10.00,30.67,1010.74,1010.06,000,90
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-14-2019,01:00:00,0.00,24.5,0.00,26.1,.00,30.76,1011.88,1010.75,000,91
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-14-2019,01:00:00,0.00,24.8,0.00,26.2,10.00,31.22,1011.26,1008.33,000,92
