WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,Rainfall,StationPressure,RelativeHumidity,DewPoint,WindSpeed,VaporPressure,WindDirection,LandVisibility,Rainfall24Hr
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.37,07-12-2019,22:00:00,30.0,0.00,989.88,68,23.5,0.0,28.91,000,10.00,0.10
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1007.38,07-12-2019,22:00:00,29.7,0.00,991.36,76,25.0,5.6,31.68,330,10.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1007.98,07-12-2019,22:00:00,30.8,0.00,994.11,64,23.1,3.7,28.26,190,10.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1008.45,07-12-2019,22:00:00,28.4,0.00,993.67,77,24.1,0.0,29.96,000,8.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1009.36,07-12-2019,22:00:00,30.0,0.00,994.80,71,24.1,5.6,30.03,190,8.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1008.49,07-12-2019,22:00:00,30.8,0.00,1005.51,66,23.6,0.0,29.09,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.34,07-12-2019,22:00:00,30.3,0.00,1000.47,70,24.1,0.0,30.06,000,8.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.40,07-12-2019,22:00:00,31.4,0.00,1007.30,65,24.1,0.0,30.00,000,10.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1008.29,07-12-2019,22:00:00,30.2,0.00,993.75,69,23.9,0.0,29.58,000,10.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.97,07-12-2019,22:00:00,20.9,0.00,875.17,97,20.4,7.4,24.00,180,7.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.68,07-12-2019,22:00:00,31.6,0.00,1002.88,69,25.1,0.0,31.85,000,10.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.62,07-12-2019,22:00:00,30.6,0.00,1008.82,80,26.7,14.8,35.04,230,8.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.50,07-12-2019,22:00:00,30.1,0.00,1009.06,73,24.8,16.7,31.35,210,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.35,07-12-2019,22:00:00,27.0,0.00,1000.00,92,25.6,0.0,32.77,000,6.00,1.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.37,07-12-2019,22:00:00,30.2,0.00,1008.37,74,24.9,3.7,31.56,210,10.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.89,07-12-2019,22:00:00,30.1,0.00,1007.08,73,24.8,7.4,31.35,210,8.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.52,07-12-2019,22:00:00,28.9,0.00,1008.76,75,24.0,0.0,29.82,000,5.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.87,07-12-2019,22:00:00,29.5,0.00,1009.17,73,24.2,14.8,30.16,200,10.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.40,07-12-2019,22:00:00,30.5,0.00,1008.70,67,23.7,5.6,29.33,180,7.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.28,07-12-2019,22:00:00,30.5,0.00,987.35,72,24.8,7.4,31.31,250,10.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1008.34,07-12-2019,22:00:00,29.9,0.00,991.76,66,22.7,0.0,27.63,000,8.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1008.97,07-12-2019,22:00:00,29.5,0.00,992.65,68,22.9,3.7,27.96,210,8.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1008.52,07-12-2019,22:00:00,29.4,0.00,986.81,72,23.9,0.0,29.68,000,10.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.13,07-12-2019,22:00:00,28.0,0.00,965.94,71,22.2,7.4,26.80,140,10.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.40,07-12-2019,22:00:00,29.7,0.00,988.00,67,22.8,3.7,27.80,180,10.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1009.55,07-12-2019,22:00:00,29.9,0.00,988.89,73,24.6,13.0,30.95,180,8.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.84,07-12-2019,22:00:00,30.1,0.00,1009.41,78,25.7,22.2,33.08,220,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.23,07-12-2019,22:00:00,27.4,0.00,1007.81,84,24.5,0.0,30.78,000,6.00,0.00
