WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,Rainfall24Hr,VaporPressure,AirTemperature,MeanSeaLevelPressure,StationPressure,WindSpeed,LandVisibility,WindDirection,RelativeHumidity
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.3,08-26-2019,01:00:00,0.40,19.50,30.32,25.0,1005.00,989.10,0.0,7.00,000,96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.1,08-26-2019,01:00:00,1.40,5.10,29.97,25.1,1004.30,985.36,0.0,5.00,000,94
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.8,08-26-2019,01:00:00,0.00,0.70,26.09,23.0,1007.82,956.11,0.0,5.00,000,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.2,08-26-2019,01:00:00,0.70,0.80,32.01,25.9,1005.87,1001.90,3.7,6.00,090,96
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.0,08-26-2019,01:00:00,0.50,8.40,23.41,20.5,1007.28,911.86,14.8,.80,210,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.6,08-26-2019,01:00:00,2.00,8.00,32.84,25.9,1005.53,989.51,9.3,4.00,180,98
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.2,08-26-2019,01:00:00,0.00,6.40,32.04,26.2,1006.27,1002.23,0.0,7.00,000,94
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.9,08-26-2019,01:00:00,0.20,2.20,31.55,25.8,1007.18,996.46,0.0,7.00,000,95
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.8,08-26-2019,01:00:00,0.00,0.40,31.38,27.0,1007.19,1005.26,3.7,9.00,180,88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.2,08-26-2019,01:00:00,3.70,8.40,28.48,25.0,1005.86,984.88,0.0,10.00,000,90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.3,08-26-2019,01:00:00,75.00,105.30,30.40,24.9,1005.48,987.73,0.0,6.00,000,97
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.6,08-26-2019,01:00:00,39.90,71.50,30.91,24.6,1005.25,988.99,0.0,6.00,000,100
