WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,AirTemperature,WindDirection,WindSpeed,Rainfall24Hr,StationPressure,DewPoint,VaporPressure,LandVisibility,RelativeHumidity
48376,TAK,ตาก,ตาก,16.87833,99.14333,1004.21,07-19-2019,13:00:00,0.00,35.8,260,14.8,0.00,990.27,23.0,28.10,10.00,48
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1003.27,07-19-2019,13:00:00,0.00,36.5,240,16.7,0.00,987.44,22.5,27.23,7.00,45
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.80,07-19-2019,13:00:00,0.00,35.8,240,13.0,0.00,998.74,22.1,26.66,10.00,45
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.31,07-19-2019,13:00:00,0.00,36.4,000,0.0,0.00,989.58,24.4,30.56,12.00,50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1003.55,07-19-2019,13:00:00,0.00,36.6,200,3.7,0.00,994.55,22.1,26.57,12.00,43
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.44,07-19-2019,13:00:00,0.00,35.0,190,3.7,15.30,982.39,23.2,28.47,10.00,51
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.92,07-19-2019,13:00:00,0.00,36.5,240,3.7,28.70,987.00,25.5,32.61,10.00,53
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1002.91,07-19-2019,13:00:00,0.00,35.4,160,3.7,0.00,987.57,25.0,31.68,12.00,55
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.36,07-19-2019,13:00:00,0.00,37.0,140,5.6,0.01,984.16,22.4,27.11,10.00,43
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1005.87,07-19-2019,13:00:00,0.00,31.2,000,0.0,0.00,955.60,22.1,26.56,11.00,58
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.54,07-19-2019,13:00:00,0.00,35.9,270,5.6,0.00,999.71,24.0,29.77,10.00,50
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1004.66,07-19-2019,13:00:00,0.00,26.9,200,14.8,0.00,911.40,21.7,25.89,8.00,73
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1003.54,07-19-2019,13:00:00,0.00,36.8,210,7.4,0.00,988.11,24.7,31.13,10.00,50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.01,07-19-2019,13:00:00,0.00,35.4,000,0.0,0.00,1000.10,26.6,34.76,12.00,60
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.65,07-19-2019,13:00:00,0.00,35.1,310,3.7,0.00,994.28,23.3,28.67,10.00,51
