WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,StationPressure,DewPoint,WindDirection,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,MeanSeaLevelPressure,VaporPressure
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.2,07-22-2019,01:00:00,0.40,987.12,25.5,000,0.01,90,0.0,8.00,1005.97,32.61
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.0,07-22-2019,01:00:00,6.30,958.31,22.5,000,0.60,91,0.0,6.00,1009.96,27.25
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.5,07-22-2019,01:00:00,10.30,1002.79,25.2,000,0.00,93,0.0,5.00,1006.76,32.07
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.0,07-22-2019,01:00:00,13.90,912.66,20.6,180,0.00,92,14.8,5.00,1007.66,24.27
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.2,07-22-2019,01:00:00,16.10,991.06,24.8,000,15.30,97,0.0,5.00,1007.14,31.22
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.8,07-22-2019,01:00:00,0.00,1002.93,26.2,000,0.00,91,0.0,10.00,1006.95,34.11
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.8,07-22-2019,01:00:00,0.00,997.03,23.4,000,0.00,77,0.0,7.00,1007.68,28.82
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.5,07-22-2019,01:00:00,0.00,1005.30,24.6,180,0.00,84,7.4,9.00,1007.23,30.97
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.5,07-22-2019,01:00:00,0.00,985.74,22.9,250,0.00,68,5.6,10.00,1006.41,27.96
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.1,07-22-2019,01:00:00,18.90,989.09,24.4,000,9.40,96,0.0,7.00,1006.86,30.50
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.4,07-22-2019,01:00:00,18.70,990.63,25.2,320,11.50,99,5.6,7.00,1006.87,32.15
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.9,07-22-2019,01:00:00,8.90,993.73,23.7,280,8.90,93,3.7,9.00,1007.87,29.34
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.2,07-22-2019,01:00:00,8.40,992.69,24.2,000,8.40,94,0.0,6.00,1007.62,30.15
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.0,07-22-2019,01:00:00,16.20,993.73,24.3,000,5.30,96,0.0,1.00,1008.52,30.32
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.7,07-22-2019,01:00:00,0.00,1003.96,24.1,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,72,0.0,10.00,1006.95,29.99
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.2,07-22-2019,01:00:00,0.00,999.03,23.1,000,0.00,70,0.0,7.00,1006.93,28.21
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.0,07-22-2019,01:00:00,0.00,1006.61,24.0,150,0.00,83,5.6,8.00,1007.72,29.75
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.0,07-22-2019,01:00:00,4.90,992.48,24.7,000,0.00,87,0.0,8.00,1007.17,31.11
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.4,07-22-2019,01:00:00,1.60,873.30,19.1,290,0.00,98,7.4,.05,1008.53,22.06
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,28.5,07-22-2019,01:00:00,0.00,1001.35,24.5,200,0.00,79,7.4,10.00,1007.20,30.70
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.2,07-22-2019,01:00:00,8.60,1007.33,25.9,000,0.00,93,0.0,8.00,1008.13,33.46
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.8,07-22-2019,01:00:00,0.00,1007.45,23.4,230,0.00,73,14.8,10.00,1007.90,28.81
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.6,07-22-2019,01:00:00,1.60,997.54,24.7,000,1.60,95,0.0,4.00,1008.91,31.17
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.0,07-22-2019,01:00:00,6.90,1006.78,23.9,000,0.00,79,0.0,10.00,1007.78,29.74
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.5,07-22-2019,01:00:00,0.00,1005.77,23.1,210,0.00,77,3.7,7.00,1007.59,28.26
