WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,WindDirection,RelativeHumidity,DewPoint,VaporPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,StationPressure,Rainfall24Hr
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-28-2019,04:00:00,0.0,000,95,20.8,24.59,1015.60,21.6,6.00,984.99,7.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-28-2019,04:00:00,0.0,000,96,21.2,25.14,1015.33,21.8,6.00,979.02,1.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-28-2019,04:00:00,0.0,000,99,20.9,24.77,1014.38,21.1,4.00,983.93,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-28-2019,04:00:00,0.0,000,87,22.4,27.01,1013.79,24.6,7.00,1006.38,0.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-28-2019,04:00:00,3.7,120,88,22.8,27.70,1014.05,25.0,4.00,993.90,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-28-2019,04:00:00,5.6,330,88,20.6,24.25,1014.61,22.6,5.00,985.36,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-28-2019,04:00:00,0.0,000,88,21.9,26.25,1014.12,24.0,5.00,993.62,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-28-2019,04:00:00,0.0,000,93,20.8,24.50,1014.36,22.0,5.00,992.13,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-28-2019,04:00:00,3.7,090,82,20.0,23.44,1013.91,23.3,8.00,994.06,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-28-2019,04:00:00,0.0,000,84,19.8,23.07,1014.51,22.6,9.00,997.40,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-28-2019,04:00:00,0.0,000,93,20.3,23.74,1014.65,21.5,5.00,996.79,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-28-2019,04:00:00,0.0,000,83,21.4,25.43,1012.96,24.4,8.00,986.82,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-28-2019,04:00:00,3.7,270,99,24.7,31.20,1014.04,24.9,6.00,1008.17,0.00
