WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,RelativeHumidity,VaporPressure,Rainfall,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,MaximumTemperature,WindDirection
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.0,07-08-2019,19:00:00,10.00,75,31.72,0.00,30.0,9.3,0.00,1007.66,1007.22,32.5,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.0,07-08-2019,19:00:00,10.00,69,28.12,0.00,29.3,0.0,6.70,1008.61,997.37,32.2,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,21.7,07-08-2019,19:00:00,12.00,59,25.98,0.00,30.6,3.7,0.00,1007.12,1006.12,35.5,180
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.2,07-08-2019,19:00:00,9.00,62,28.40,0.00,31.3,3.7,0.00,1007.04,1005.24,34.5,200
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.7,07-08-2019,19:00:00,9.00,65,27.55,0.00,30.0,0.0,0.90,1007.46,1006.70,33.8,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.4,07-08-2019,19:00:00,4.00,90,32.53,1.20,27.3,16.7,1.20,1007.97,1007.27,33.8,190
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.7,07-08-2019,19:00:00,6.00,82,31.11,7.20,28.0,7.4,7.20,1007.45,1006.74,36.0,240
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.6,07-08-2019,19:00:00,10.00,62,29.19,0.00,31.7,7.4,0.00,1006.11,985.30,35.5,280
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.1,07-08-2019,19:00:00,9.00,81,30.07,0.00,27.6,7.4,0.30,1006.58,989.91,35.4,180
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.3,07-08-2019,19:00:00,8.00,77,30.46,0.00,28.8,11.1,0.00,1007.01,990.68,35.4,180
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.3,07-08-2019,19:00:00,10.00,60,28.66,0.00,32.0,0.0,0.00,1006.00,984.52,35.3,000
