WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,StationPressure,WindDirection,VaporPressure,WindSpeed,MaximumTemperature
48331,NAN,น่าน,น่าน,18.77972,100.77778,28.9,09-21-2019,19:00:00,78,1.30,1007.69,10.00,0.00,24.6,985.04,000,30.93,0.0,34.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.0,09-21-2019,19:00:00,81,0.60,1007.45,10.00,0.00,24.4,977.72,000,30.56,0.0,32.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.0,09-21-2019,19:00:00,83,11.80,1008.98,7.00,11.60,20.9,973.16,000,24.78,0.0,31.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.0,09-21-2019,19:00:00,86,1.80,1008.07,10.00,0.00,23.5,978.30,000,28.97,0.0,31.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.2,09-21-2019,19:00:00,76,0.00,1007.71,9.00,0.00,22.6,1000.41,000,27.45,0.0,35.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.4,09-21-2019,19:00:00,72,0.00,1007.51,7.00,0.00,24.7,987.83,130,31.11,3.7,33.7
48353,LOEI,เลย,เลย,17.45000,101.73333,28.5,09-21-2019,19:00:00,74,5.70,1007.67,8.00,0.00,23.4,979.18,240,28.78,3.7,31.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.5,09-21-2019,19:00:00,67,0.00,1007.74,9.00,0.00,22.6,987.74,090,27.42,3.7,34.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.0,09-21-2019,19:00:00,77,0.00,1008.78,5.00,0.00,22.6,987.04,120,27.36,9.3,32.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.4,09-21-2019,19:00:00,80,0.00,1008.34,10.00,0.00,23.6,988.87,160,29.15,7.4,32.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.1,09-21-2019,19:00:00,67,0.00,1009.17,10.00,0.00,21.4,992.46,140,25.42,3.7,34.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.5,09-21-2019,19:00:00,78,0.00,1009.37,8.00,0.00,22.3,991.90,090,26.99,3.7,31.1
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.0,09-21-2019,19:00:00,74,0.00,1007.35,10.00,0.00,22.9,981.66,000,27.85,0.0,32.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.5,09-21-2019,19:00:00,94,35.40,1007.53,10.00,0.00,26.4,1001.75,290,34.36,5.6,33.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,27.5,09-21-2019,19:00:00,92,20.40,1007.97,10.00,0.00,26.1,1001.79,000,33.78,0.0,33.2
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.8,09-21-2019,19:00:00,67,0.00,1008.35,12.00,0.00,23.1,992.05,000,28.26,0.0,34.5
