WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,RelativeHumidity,Rainfall,DewPoint,MeanSeaLevelPressure,WindDirection,LandVisibility,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-29-2019,13:00:00,27.97,57,0.00,22.9,1005.10,270,12.00,32.5,0.01,1001.87,9.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-29-2019,13:00:00,30.53,62,0.00,24.4,1005.05,280,10.00,32.5,0.01,1003.97,11.1
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-29-2019,13:00:00,28.53,58,0.00,23.3,1004.98,290,10.00,32.5,0.00,1004.69,16.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-29-2019,13:00:00,28.52,56,0.00,23.3,1005.06,300,10.00,33.2,0.60,1004.39,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-29-2019,13:00:00,30.08,66,0.00,24.1,1004.63,300,10.00,31.3,1.00,1004.15,11.1
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-29-2019,13:00:00,29.84,64,0.00,24.0,1004.77,310,10.00,31.6,0.80,1003.38,20.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-29-2019,13:00:00,36.05,85,0.00,27.2,1005.52,260,12.00,30.1,5.90,1003.87,13.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-29-2019,13:00:00,30.39,72,0.00,24.3,1006.07,230,10.00,29.9,12.00,998.15,11.1
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-29-2019,13:00:00,28.32,62,0.00,23.1,1004.92,270,10.00,31.4,8.60,1004.64,14.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-29-2019,13:00:00,28.94,67,0.00,23.5,1004.89,130,10.00,30.3,21.30,1001.80,7.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-29-2019,13:00:00,30.31,71,0.00,24.3,1005.36,210,12.00,30.0,0.40,998.50,9.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-29-2019,13:00:00,31.40,75,0.00,24.9,1004.54,320,7.00,29.7,6.10,999.01,7.4
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-29-2019,13:00:00,29.06,67,0.00,23.6,1006.14,310,10.00,30.5,5.20,996.94,14.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-29-2019,13:00:00,44.34,95,0.00,30.8,1005.96,270,14.00,31.7,21.70,1004.72,18.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-29-2019,13:00:00,28.58,60,0.00,23.3,1005.15,280,11.00,32.1,1.60,1004.73,9.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-29-2019,13:00:00,29.11,68,0.00,23.6,1005.76,000,9.00,30.1,0.00,993.64,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-29-2019,13:00:00,29.43,64,0.00,23.8,1005.55,210,10.00,31.4,0.00,1004.85,11.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-29-2019,13:00:00,28.89,59,0.00,23.5,1005.06,260,10.00,32.4,0.01,1002.68,14.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-29-2019,13:00:00,31.13,78,0.20,24.7,1005.15,260,8.00,29.0,0.90,1004.64,25.9
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-29-2019,13:00:00,25.84,57,0.00,21.6,1004.93,280,11.00,31.1,0.01,999.86,16.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-29-2019,13:00:00,31.79,83,0.10,25.1,1005.32,000,8.00,28.2,9.10,1004.91,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-29-2019,13:00:00,33.53,86,0.20,26.0,1005.08,000,8.00,28.5,14.60,1002.33,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-29-2019,13:00:00,28.53,78,0.30,23.3,1006.78,270,10.00,27.5,3.90,1006.00,3.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-29-2019,13:00:00,31.25,96,13.00,24.8,1005.05,350,5.00,25.5,24.00,1004.59,9.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-29-2019,13:00:00,30.30,90,2.50,24.3,1007.38,260,8.00,26.0,10.40,1006.70,7.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-29-2019,13:00:00,29.28,91,17.00,23.7,1008.04,320,8.00,25.3,27.00,1006.50,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-29-2019,13:00:00,30.71,94,21.00,24.5,1009.03,230,8.00,25.5,44.80,1008.11,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-29-2019,13:00:00,29.16,74,0.30,23.6,1007.67,270,9.00,28.7,0.30,1006.99,9.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-29-2019,13:00:00,31.93,69,0.10,25.1,1007.78,310,9.00,31.5,0.50,1007.00,7.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-29-2019,13:00:00,29.06,60,0.00,23.6,1006.44,000,10.00,32.2,4.90,1005.82,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-29-2019,13:00:00,32.41,66,0.00,25.4,1007.35,240,10.00,32.7,9.70,1006.96,11.1
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-29-2019,13:00:00,28.89,65,0.00,23.5,1009.88,280,5.00,30.7,0.10,1005.71,7.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-29-2019,13:00:00,29.65,78,0.00,23.9,1008.82,230,12.00,28.1,9.00,1007.21,11.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-29-2019,13:00:00,31.85,77,0.00,25.1,1008.10,000,10.00,29.5,15.80,1004.65,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-29-2019,13:00:00,31.89,76,0.01,25.1,1007.38,270,10.00,29.8,9.60,1006.04,13.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-29-2019,13:00:00,32.71,79,0.00,25.5,1008.26,270,10.00,29.5,40.20,1007.38,11.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-29-2019,13:00:00,31.79,92,3.00,25.1,1007.66,290,8.00,26.5,47.20,1004.10,7.4
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-29-2019,13:00:00,30.49,66,0.00,24.4,1008.05,260,10.00,31.5,14.40,1007.62,13.0
