WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,DewPoint,RelativeHumidity,VaporPressure,WindDirection,LandVisibility,AirTemperature,Rainfall
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.88,07-21-2019,16:00:00,0.60,1006.58,9.3,25.4,72,32.34,240,10.00,31.0,0.60
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.64,07-21-2019,16:00:00,0.00,1007.04,14.8,24.2,64,30.16,180,10.00,31.9,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.24,07-21-2019,16:00:00,0.01,1006.75,11.1,25.8,73,33.14,250,12.00,31.1,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.43,07-21-2019,16:00:00,0.00,1006.51,1.9,24.5,67,30.65,290,15.00,31.3,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.43,07-21-2019,16:00:00,66.90,1006.83,5.6,26.1,76,33.89,210,10.00,30.9,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.37,07-21-2019,16:00:00,50.10,1007.11,0.0,25.9,76,33.34,000,8.00,30.5,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.30,07-21-2019,16:00:00,1.00,1007.08,18.5,23.0,68,28.15,360,10.00,29.6,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.83,07-21-2019,16:00:00,37.50,1007.28,3.7,25.6,79,32.91,250,10.00,29.6,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1005.74,07-21-2019,16:00:00,0.00,1006.41,7.4,23.6,59,29.09,200,8.00,32.5,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.31,07-21-2019,16:00:00,0.00,1006.81,3.7,24.0,63,29.79,270,10.00,32.0,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.16,07-21-2019,16:00:00,11.50,1008.07,11.1,23.7,68,29.22,200,10.00,30.3,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.73,07-21-2019,16:00:00,2.60,1007.41,5.6,25.1,70,31.89,100,12.00,31.2,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.40,07-21-2019,16:00:00,4.50,1007.18,3.7,24.5,61,30.69,270,10.00,33.0,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1005.80,07-21-2019,16:00:00,0.00,1006.42,9.3,23.3,55,28.68,090,10.00,33.7,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.51,07-21-2019,16:00:00,0.00,1006.91,0.0,25.8,69,33.20,000,10.00,32.1,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1004.97,07-21-2019,16:00:00,0.00,1009.11,18.5,24.2,62,30.24,220,7.00,32.5,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1005.81,07-21-2019,16:00:00,0.20,1007.39,0.0,21.4,52,25.49,000,10.00,32.5,0.01
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1003.98,07-21-2019,16:00:00,0.20,1007.40,0.0,21.5,53,25.58,000,10.00,32.4,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1005.57,07-21-2019,16:00:00,0.00,1006.89,0.0,24.6,57,30.88,000,10.00,34.2,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.05,07-21-2019,16:00:00,35.90,1007.93,18.5,24.9,73,31.48,240,10.00,30.3,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1003.97,07-21-2019,16:00:00,12.70,1007.49,9.3,25.3,74,32.17,190,10.00,30.5,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.62,07-21-2019,16:00:00,1.00,1008.05,9.3,25.4,70,32.43,270,10.00,31.6,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.08,07-21-2019,16:00:00,20.10,1008.07,9.3,26.7,86,35.13,250,7.00,29.4,0.50
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.11,07-21-2019,16:00:00,0.20,1007.91,9.3,25.8,74,33.22,270,10.00,31.0,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1005.60,07-21-2019,16:00:00,0.00,1007.39,7.4,24.9,66,31.52,240,10.00,32.0,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.23,07-21-2019,16:00:00,0.20,1006.97,7.4,25.2,68,32.10,070,11.00,32.0,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1002.96,07-21-2019,16:00:00,0.00,1006.89,16.7,24.0,63,29.79,260,10.00,32.0,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1006.44,07-21-2019,16:00:00,0.00,1007.11,7.4,23.8,61,29.46,270,10.00,32.4,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.31,07-21-2019,16:00:00,5.20,1007.40,13.0,24.1,59,29.95,280,12.00,33.2,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1003.92,07-21-2019,16:00:00,0.00,1006.77,9.3,23.8,55,29.50,230,12.00,34.1,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1005.65,07-21-2019,16:00:00,27.80,1006.32,11.1,26.3,68,34.19,050,10.00,33.1,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1003.06,07-21-2019,16:00:00,0.00,1007.09,0.0,24.9,59,31.42,000,8.00,33.9,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1006.70,07-21-2019,16:00:00,0.00,1007.28,14.8,25.0,67,31.60,050,12.00,31.9,0.00
