WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,WindSpeed,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,WindDirection,LandVisibility,Rainfall,MaximumTemperature,DewPoint,AirTemperature
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.12,07-29-2019,19:00:00,0.00,5.6,27.30,63,1005.32,070,12.00,0.00,36.1,22.5,30.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.63,07-29-2019,19:00:00,0.40,9.3,31.82,90,1004.27,120,10.00,0.40,36.6,25.1,26.8
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.99,07-29-2019,19:00:00,6.50,0.0,28.26,77,1005.43,000,10.00,0.00,36.6,23.1,27.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,988.60,07-29-2019,19:00:00,5.60,3.7,29.11,89,1004.47,200,10.00,5.60,33.8,23.6,25.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.44,07-29-2019,19:00:00,13.50,0.0,33.32,99,1003.31,000,7.00,3.50,36.9,25.8,26.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,957.09,07-29-2019,19:00:00,12.30,0.0,26.93,88,1008.61,000,9.00,0.30,27.8,22.3,24.4
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.64,07-29-2019,19:00:00,0.00,7.4,32.91,83,1004.56,230,10.00,0.00,34.7,25.6,28.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.89,07-29-2019,19:00:00,1.80,20.4,23.55,97,1008.39,230,.50,1.80,25.0,20.1,20.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,988.38,07-29-2019,19:00:00,54.70,0.0,30.56,98,1004.45,000,6.00,1.40,35.0,24.4,24.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1001.31,07-29-2019,19:00:00,1.70,0.0,34.77,81,1005.29,000,12.00,0.00,36.0,26.6,30.2
