WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,WindSpeed,VaporPressure,LandVisibility,AirTemperature,DewPoint,RelativeHumidity,StationPressure
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-07-2019,01:00:00,130,9.00,1005.58,0.70,1.9,31.49,7.00,25.2,24.9,98,983.80
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-07-2019,01:00:00,000,13.00,1005.53,0.00,0.0,32.45,10.00,25.7,25.4,98,989.65
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-07-2019,01:00:00,170,1.40,1004.92,0.20,1.9,32.20,8.00,26.0,25.3,96,986.02
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-07-2019,01:00:00,000,19.20,1010.02,2.10,0.0,25.76,5.00,22.8,21.6,93,958.16
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-07-2019,01:00:00,000,3.10,1006.73,0.00,0.0,33.02,6.00,26.7,25.7,94,1002.77
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-07-2019,01:00:00,240,6.50,1008.44,2.20,11.1,23.05,.10,20.1,19.8,98,912.79
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-07-2019,01:00:00,000,1.40,1005.63,0.00,0.0,33.82,8.00,27.1,26.1,94,989.67
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-07-2019,01:00:00,000,0.00,1006.80,0.00,0.0,32.18,10.00,26.7,25.3,92,1002.76
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-07-2019,01:00:00,000,4.00,1008.11,0.00,0.0,29.52,7.00,25.0,23.8,93,997.36
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-07-2019,01:00:00,240,7.90,1007.15,0.00,3.7,28.97,7.00,26.0,23.5,86,1005.21
