WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,Rainfall24Hr,WindSpeed,VaporPressure,WindDirection,LandVisibility,StationPressure,DewPoint,MeanSeaLevelPressure,RelativeHumidity
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-04-2019,16:00:00,30.5,0.00,9.3,30.18,120,8.00,1006.99,24.2,1007.68,69
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-04-2019,16:00:00,32.0,0.40,11.1,28.10,100,7.00,986.14,23.0,1006.94,59
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-04-2019,16:00:00,31.6,1.10,0.0,30.98,000,11.00,990.76,24.6,1007.23,67
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-04-2019,16:00:00,32.5,27.10,0.0,30.24,000,10.00,992.06,24.2,1008.22,62
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-04-2019,16:00:00,32.6,0.00,0.0,28.45,000,6.00,985.51,23.2,1006.97,58
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.01,10-04-2019,16:00:00,25.7,0.01,0.0,26.62,000,8.00,964.47,22.1,1007.93,81
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-04-2019,16:00:00,32.2,0.60,9.3,29.06,130,10.00,986.61,23.6,1006.82,60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-04-2019,16:00:00,29.0,0.00,7.4,33.99,020,7.00,988.45,26.2,1009.17,85
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-04-2019,16:00:00,31.5,0.00,0.0,32.52,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,1006.88,25.4,1007.30,70
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,15.40,10-04-2019,16:00:00,25.7,23.60,0.0,29.74,000,9.00,1006.61,23.9,1008.03,90
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1.00,10-04-2019,16:00:00,28.5,19.00,0.0,34.11,000,8.00,1003.20,26.2,1008.11,88
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-04-2019,16:00:00,35.5,1.80,9.3,24.39,230,12.00,1003.11,20.7,1006.31,42
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-04-2019,16:00:00,32.2,0.00,11.1,32.23,130,10.00,1005.37,25.3,1006.46,67
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,10-04-2019,16:00:00,31.6,2.70,9.3,32.14,230,10.00,1006.77,25.2,1007.06,69
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.01,10-04-2019,16:00:00,30.3,10.20,9.3,32.92,240,10.00,1006.46,25.6,1007.14,76
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-04-2019,16:00:00,30.0,14.00,3.7,34.64,270,10.00,1006.65,26.5,1007.13,82
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,21.80,10-04-2019,16:00:00,29.8,37.60,0.0,27.98,000,10.00,1006.21,22.9,1007.61,67
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-04-2019,16:00:00,30.0,0.00,16.7,35.53,170,7.00,1005.61,26.9,1007.28,84
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,2.90,10-04-2019,16:00:00,24.5,36.30,0.0,29.41,000,10.00,1002.00,23.8,1010.10,96
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1.50,10-04-2019,16:00:00,27.3,15.70,3.7,32.53,120,4.00,1007.01,25.4,1007.29,90
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-04-2019,16:00:00,28.5,0.00,0.0,31.54,000,10.00,1003.97,24.9,1007.08,81
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-04-2019,16:00:00,29.0,0.00,5.6,31.13,210,10.00,1000.55,24.7,1007.44,78
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-04-2019,16:00:00,32.3,1.10,0.0,31.56,000,8.00,1002.30,24.9,1007.81,65
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-04-2019,16:00:00,29.5,0.01,5.6,33.00,220,10.00,998.48,25.7,1007.72,80
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-04-2019,16:00:00,33.0,0.00,0.0,32.16,000,14.00,1006.58,25.3,1007.82,64
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-04-2019,16:00:00,33.5,0.00,11.1,34.77,140,11.00,1006.50,26.6,1006.92,67
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-04-2019,16:00:00,31.8,0.70,7.4,29.39,040,8.00,994.91,23.8,1006.98,63
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-04-2019,16:00:00,31.4,0.00,13.0,32.30,110,10.00,1006.70,25.3,1007.41,70
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-04-2019,16:00:00,30.2,0.00,7.4,31.84,150,8.00,1005.31,25.1,1007.72,74
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-04-2019,16:00:00,30.0,0.00,0.0,31.72,000,7.00,1007.56,25.0,1008.07,75
