WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,Rainfall,MinimumTemperature,MeanSeaLevelPressure,WindSpeed,AirTemperature,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,LandVisibility
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.3,07-17-2019,07:00:00,89,0.00,27.4,1004.92,0.0,28.3,1004.51,34.28,3.10,000,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.8,07-17-2019,07:00:00,90,0.00,27.0,1005.15,0.0,27.5,1002.39,33.21,0.00,000,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.3,07-17-2019,07:00:00,85,0.00,25.3,1005.69,0.0,26.1,1004.90,28.62,0.00,000,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.7,07-17-2019,07:00:00,92,52.70,24.4,1005.54,9.3,25.0,1005.08,29.26,59.40,060,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.0,07-17-2019,07:00:00,92,0.00,24.9,1006.34,0.0,25.5,1005.66,29.91,0.01,000,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.8,07-17-2019,07:00:00,93,0.00,24.5,1006.19,0.0,25.0,1004.65,29.52,0.20,000,9.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.0,07-17-2019,07:00:00,86,0.00,26.3,1006.81,5.6,26.5,1005.89,29.89,39.90,200,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,23.5,07-17-2019,07:00:00,83,0.00,25.9,1006.42,7.4,26.7,1005.74,28.92,0.00,270,12.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.7,07-17-2019,07:00:00,98,0.00,23.6,1007.25,5.6,24.0,1006.45,29.30,13.20,190,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.8,07-17-2019,07:00:00,96,0.00,23.6,1006.49,0.0,24.5,1005.85,29.41,13.70,000,12.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.2,07-17-2019,07:00:00,98,0.00,24.0,1006.65,7.4,24.5,1006.24,30.20,10.10,180,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.2,07-17-2019,07:00:00,94,0.00,23.8,1008.47,0.0,24.2,1004.22,28.36,15.40,000,7.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.1,07-17-2019,07:00:00,98,0.00,23.0,1007.37,0.0,23.4,1005.75,28.25,4.60,000,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,22.8,07-17-2019,07:00:00,97,0.00,23.1,1007.68,0.0,23.3,1004.16,27.83,17.10,000,4.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.3,07-17-2019,07:00:00,95,0.00,24.2,1007.35,0.0,24.2,1005.98,28.62,0.40,000,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.7,07-17-2019,07:00:00,98,0.00,23.9,1006.65,0.0,25.0,1005.76,31.12,68.40,000,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.1,07-17-2019,07:00:00,97,0.00,22.5,1007.05,0.0,24.5,1003.46,29.93,35.00,000,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.8,07-17-2019,07:00:00,96,0.00,24.4,1007.14,0.0,25.5,1006.70,31.25,79.20,000,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.3,07-17-2019,07:00:00,87,0.00,25.4,1006.71,0.0,27.6,1005.72,32.28,40.60,000,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.5,07-17-2019,07:00:00,86,0.80,24.0,1007.47,5.6,26.0,1006.65,28.97,100.20,130,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.9,07-17-2019,07:00:00,97,0.00,23.8,1007.45,0.0,24.3,1005.62,29.57,29.90,000,8.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,22.8,07-17-2019,07:00:00,85,0.00,24.3,1007.54,1.9,25.5,1006.79,27.81,0.20,060,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.8,07-17-2019,07:00:00,91,0.00,23.4,1007.65,3.7,25.4,1003.63,29.46,23.80,210,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.8,07-17-2019,07:00:00,96,0.60,22.6,1008.48,0.0,24.5,1007.79,29.41,43.90,000,6.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.5,07-17-2019,07:00:00,92,0.00,23.7,1007.34,0.0,25.0,1006.22,29.00,0.60,000,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.9,07-17-2019,07:00:00,96,0.00,22.5,1007.82,0.0,24.6,1004.88,29.59,0.01,000,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,22.7,07-17-2019,07:00:00,87,0.00,24.0,1007.45,0.0,24.9,1006.75,27.53,13.70,000,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.6,07-17-2019,07:00:00,87,0.00,23.7,1008.15,13.0,24.8,1003.99,27.36,0.00,230,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.3,07-17-2019,07:00:00,87,0.00,.0,1008.05,0.0,24.5,1007.46,26.84,0.00,000,9.00
