WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,WindSpeed,DewPoint,MeanSeaLevelPressure,MinimumTemperature,VaporPressure,Rainfall,WindDirection,LandVisibility,Rainfall24Hr,AirTemperature
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1002.18,08-22-2019,07:00:00,96,0.0,24.3,1008.10,24.1,30.32,0.00,000,8.00,3.70,25.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.17,08-22-2019,07:00:00,93,0.0,25.4,1007.97,25.5,32.35,0.00,000,9.00,2.90,26.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.30,08-22-2019,07:00:00,77,11.1,24.6,1007.74,28.5,30.85,0.00,210,10.00,0.00,29.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.86,08-22-2019,07:00:00,96,0.0,23.8,1008.27,24.0,29.41,3.70,000,3.00,11.10,24.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.98,08-22-2019,07:00:00,92,0.0,25.0,1007.99,25.7,31.60,0.00,000,10.00,4.40,26.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.93,08-22-2019,07:00:00,89,0.0,24.0,1007.76,25.5,29.84,0.00,000,7.00,1.90,25.9
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.41,08-22-2019,07:00:00,92,0.0,23.6,1007.18,23.9,29.08,0.00,000,6.00,0.20,24.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.38,08-22-2019,07:00:00,75,11.1,23.7,1008.09,27.4,29.24,0.00,190,10.00,0.00,28.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1007.37,08-22-2019,07:00:00,97,0.0,26.4,1008.07,26.6,34.48,0.01,000,7.00,0.20,27.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,987.02,08-22-2019,07:00:00,92,0.0,24.0,1008.30,25.0,29.91,0.70,000,8.00,0.80,25.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,991.43,08-22-2019,07:00:00,91,0.0,24.7,1008.21,25.0,31.13,0.00,000,7.00,0.00,26.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,992.16,08-22-2019,07:00:00,91,7.4,24.5,1008.67,24.8,30.76,0.00,210,9.00,0.00,26.1
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,986.32,08-22-2019,07:00:00,86,0.0,23.7,1008.26,25.7,29.33,0.00,000,10.00,0.00,26.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,965.07,08-22-2019,07:00:00,91,3.7,22.0,1008.88,23.0,26.42,1.60,270,10.00,9.20,23.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,987.54,08-22-2019,07:00:00,84,3.7,23.6,1008.15,26.0,29.08,0.00,180,10.00,0.00,26.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,988.76,08-22-2019,07:00:00,97,11.1,25.3,1009.72,25.2,32.18,0.00,200,9.00,0.00,25.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.02,08-22-2019,07:00:00,79,14.8,24.6,1007.46,27.5,30.90,0.00,210,10.00,0.70,28.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.90,08-22-2019,07:00:00,95,0.0,25.1,1008.32,25.5,31.93,0.00,000,8.00,0.00,26.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.57,08-22-2019,07:00:00,96,0.0,25.5,1008.52,25.9,32.59,0.00,000,8.00,3.90,26.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.47,08-22-2019,07:00:00,86,0.0,23.7,1007.77,24.6,29.33,0.00,000,12.00,0.00,26.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.86,08-22-2019,07:00:00,94,0.0,25.0,1007.97,25.4,31.65,0.00,000,10.00,0.20,26.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.81,08-22-2019,07:00:00,80,3.7,24.4,1008.11,27.8,30.59,0.00,170,10.00,0.01,28.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.78,08-22-2019,07:00:00,80,5.6,24.9,1007.46,28.2,31.46,0.00,210,10.00,0.00,28.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.74,08-22-2019,07:00:00,80,0.0,24.0,1008.23,27.5,29.90,0.00,000,10.00,0.00,27.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.61,08-22-2019,07:00:00,89,5.6,25.3,1008.02,26.6,32.25,0.00,120,10.00,5.80,27.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.41,08-22-2019,07:00:00,85,22.2,26.2,1008.08,28.5,33.99,0.00,210,10.00,0.00,29.0
