WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,LandVisibility
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.1,09-03-2019,16:00:00,000,27.0,33.91,999.57,30.30,9.40,95,1004.49,0.0,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.5,09-03-2019,16:00:00,280,29.8,27.17,1001.77,0.90,0.00,65,1005.02,7.4,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.6,09-03-2019,16:00:00,260,29.5,29.05,1003.88,5.00,0.00,70,1004.97,7.4,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.7,09-03-2019,16:00:00,290,27.0,31.11,1004.66,22.30,17.00,87,1004.96,9.3,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.5,09-03-2019,16:00:00,230,29.5,30.72,1003.96,14.70,4.20,75,1004.64,5.6,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.6,09-03-2019,16:00:00,240,27.2,32.89,1004.09,4.70,4.70,91,1004.58,3.7,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.7,09-03-2019,16:00:00,270,30.5,29.33,1003.39,6.30,0.01,67,1004.78,11.1,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,25.1,09-03-2019,16:00:00,240,28.0,31.95,1002.91,3.20,3.20,85,1004.58,5.6,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.8,09-03-2019,16:00:00,230,24.5,29.41,998.67,16.40,2.80,96,1006.74,3.7,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.0,09-03-2019,16:00:00,000,25.5,29.91,1004.77,14.40,5.80,92,1005.05,0.0,8.00
