WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,MeanSeaLevelPressure,DewPoint,Rainfall,AirTemperature,LandVisibility,RelativeHumidity,StationPressure,Rainfall24Hr,VaporPressure
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-21-2019,10:00:00,0.0,000,1008.75,25.8,0.00,29.0,10.00,83,997.51,0.00,33.12
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-21-2019,10:00:00,9.3,190,1008.37,25.6,0.00,32.3,12.00,68,1007.38,0.00,32.74
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-21-2019,10:00:00,9.3,170,1008.31,25.0,0.00,31.5,10.00,68,1006.51,0.00,31.64
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-21-2019,10:00:00,0.0,000,1008.25,24.3,0.00,29.9,9.00,72,1007.50,0.40,30.39
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-21-2019,10:00:00,16.7,200,1008.26,24.9,0.00,31.0,10.00,70,1007.57,0.00,31.47
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-21-2019,10:00:00,5.6,210,1008.41,25.7,0.00,31.9,9.00,70,1007.71,0.00,33.07
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-21-2019,10:00:00,0.0,000,1007.97,25.3,0.00,33.0,10.00,64,987.21,0.01,32.16
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-21-2019,10:00:00,9.3,220,1008.16,24.9,0.00,32.1,10.00,66,991.71,0.00,31.44
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-21-2019,10:00:00,3.7,270,1008.34,24.0,0.00,32.2,10.00,62,992.17,0.00,29.91
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-21-2019,10:00:00,3.7,240,1008.03,23.7,0.00,33.0,10.00,58,986.57,0.00,29.25
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,07-21-2019,10:00:00,11.1,260,1007.82,22.1,0.00,31.2,15.00,58,965.13,0.00,26.56
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,07-21-2019,10:00:00,5.6,110,1007.64,24.1,0.00,32.0,10.00,63,987.41,0.00,30.08
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,07-21-2019,10:00:00,13.0,230,1010.10,25.8,0.00,30.6,8.00,76,989.47,0.01,33.26
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,07-21-2019,10:00:00,13.0,190,1008.10,24.3,0.00,30.5,10.00,70,1007.67,0.00,30.46
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,07-21-2019,10:00:00,5.6,250,1008.56,25.7,0.00,30.1,11.00,78,1007.16,8.20,33.08
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,07-21-2019,10:00:00,0.0,000,1008.80,26.1,0.00,30.0,8.00,80,1003.91,23.90,33.75
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,07-21-2019,10:00:00,0.0,000,1008.27,23.2,0.00,31.9,12.00,60,1005.03,1.10,28.46
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-21-2019,10:00:00,3.7,100,1008.67,24.6,0.00,30.7,10.00,70,1007.58,0.00,30.86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-21-2019,10:00:00,0.0,000,1008.54,25.2,0.01,31.7,10.00,69,1008.24,0.01,32.06
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,07-21-2019,10:00:00,0.0,000,1008.44,25.1,0.00,32.2,10.00,66,1007.76,0.00,31.94
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-21-2019,10:00:00,3.7,120,1008.31,25.0,0.00,32.5,10.00,65,1007.82,0.00,31.69
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-21-2019,10:00:00,14.8,200,1008.72,25.0,0.00,31.7,10.00,68,1007.33,2.00,31.77
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,07-21-2019,10:00:00,25.9,190,1008.47,25.9,0.00,30.1,12.00,78,1006.81,0.00,33.38
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-21-2019,10:00:00,7.4,180,1010.12,25.1,0.00,29.8,12.00,76,1002.17,13.90,31.89
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-21-2019,10:00:00,3.7,160,1008.53,24.8,0.00,32.2,12.00,65,1008.25,0.00,31.35
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-21-2019,10:00:00,7.4,260,1008.52,24.6,0.00,31.0,12.00,69,1005.42,0.00,30.90
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-21-2019,10:00:00,5.6,230,1008.72,24.7,0.00,30.5,12.00,71,1001.85,0.00,31.03
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-21-2019,10:00:00,5.6,280,1008.57,25.4,0.00,31.0,8.00,72,1003.04,0.60,32.34
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,07-21-2019,10:00:00,16.7,230,1009.56,23.8,0.00,29.9,10.00,70,1000.32,0.00,29.55
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-21-2019,10:00:00,7.4,180,1009.29,24.7,0.40,30.0,15.00,73,1008.04,0.70,31.15
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-21-2019,10:00:00,9.3,220,1008.33,24.5,0.00,30.8,11.00,69,1007.91,6.10,30.78
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-21-2019,10:00:00,9.3,230,1007.98,24.3,0.00,32.3,10.00,63,995.93,0.00,30.40
