WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,StationPressure,WindSpeed,LandVisibility,VaporPressure,Rainfall24Hr,AirTemperature,Rainfall,WindDirection,RelativeHumidity,MeanSeaLevelPressure
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-28-2019,10:00:00,22.9,982.77,0.0,8.00,27.85,1.70,26.4,0.00,000,81,1016.61
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-28-2019,10:00:00,24.7,984.22,0.0,5.00,31.13,0.00,29.0,0.00,000,78,1002.49
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-28-2019,10:00:00,21.8,994.00,0.0,10.00,26.05,0.01,26.7,0.00,000,74,1017.02
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-28-2019,10:00:00,20.9,986.98,0.0,10.00,24.78,0.01,25.8,0.00,000,75,1017.21
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-28-2019,10:00:00,22.2,981.13,0.0,6.00,26.82,1.20,26.7,0.00,000,77,1016.91
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-28-2019,10:00:00,22.5,985.47,7.4,7.00,27.19,0.00,27.2,0.00,100,75,1015.34
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-28-2019,10:00:00,22.6,1008.03,0.0,8.00,27.44,0.60,28.5,0.00,000,71,1015.36
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-28-2019,10:00:00,20.6,996.18,14.8,6.00,24.29,0.00,30.1,0.00,100,57,1016.03
48353,LOEI,เลย,เลย,17.45000,101.73333,09-28-2019,10:00:00,21.1,987.13,5.6,4.00,25.03,0.00,29.2,0.00,160,62,1015.79
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-28-2019,10:00:00,19.9,996.12,0.0,8.00,23.17,0.00,29.6,0.00,000,56,1016.29
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-28-2019,10:00:00,21.1,994.39,0.0,6.00,25.03,0.00,29.2,0.00,000,62,1016.14
