WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-11-2019,01:00:00,28.0,25.1,85,31.95,0.0,36.60,1011.03,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1010.60,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-11-2019,01:00:00,25.4,24.2,93,30.25,0.0,0.00,1010.96,000,1009.53,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-11-2019,01:00:00,25.1,24.4,96,30.50,0.0,0.00,1011.32,000,1006.33,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-11-2019,01:00:00,27.0,24.0,83,29.75,0.0,0.10,1011.54,000,1008.24,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-11-2019,01:00:00,27.7,25.4,87,32.48,3.7,0.00,1011.17,300,1010.06,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-11-2019,01:00:00,27.3,25.7,91,33.09,0.0,7.10,1010.67,000,1010.37,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-11-2019,01:00:00,27.0,25.6,92,32.77,0.0,26.60,1010.77,000,1010.28,8.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-11-2019,01:00:00,27.4,24.5,84,30.78,7.4,0.00,1011.43,110,1010.02,8.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-11-2019,01:00:00,24.0,23.4,97,28.78,0.0,0.00,1012.77,000,1004.64,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-11-2019,01:00:00,26.7,25.7,94,33.02,0.0,5.80,1010.82,000,1010.54,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-11-2019,01:00:00,26.0,25.3,96,32.20,0.0,0.00,1010.67,000,1007.51,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-11-2019,01:00:00,26.7,25.0,90,31.63,0.0,0.00,1010.52,000,1003.55,6.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-11-2019,01:00:00,26.0,24.6,92,30.84,0.0,0.01,1011.50,000,1005.85,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-11-2019,01:00:00,26.5,24.2,87,30.16,3.7,0.01,1011.81,340,1010.54,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-11-2019,01:00:00,28.0,25.1,85,31.95,0.0,0.00,1011.26,000,1010.82,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-11-2019,01:00:00,24.8,24.1,96,29.95,0.0,0.00,1011.72,000,999.32,6.00
