WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindSpeed,MeanSeaLevelPressure,WindDirection,DewPoint,StationPressure,Rainfall24Hr,VaporPressure,LandVisibility,AirTemperature,Rainfall
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,72,10-14-2019,13:00:00,3.7,1011.63,230,25.9,1010.54,9.10,33.40,10.00,31.5,0.80
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,63,10-14-2019,13:00:00,11.1,1011.32,060,24.9,1011.03,31.70,31.57,10.00,33.0,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,57,10-14-2019,13:00:00,9.3,1010.95,140,23.9,1010.27,9.10,29.70,10.00,33.5,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,61,10-14-2019,13:00:00,3.7,1008.87,240,24.5,1008.39,14.20,30.69,10.00,33.0,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,61,10-14-2019,13:00:00,13.0,1011.45,100,23.7,1010.06,30.20,29.26,10.00,32.3,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,73,10-14-2019,13:00:00,0.0,1011.53,000,24.2,1009.85,42.00,30.16,9.00,29.5,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,63,10-14-2019,13:00:00,3.7,1013.30,070,25.1,1005.40,4.20,31.87,12.00,33.0,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,60,10-14-2019,13:00:00,9.3,1010.69,060,25.1,1010.41,1.20,31.94,10.00,34.0,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,70,10-14-2019,13:00:00,5.6,1010.94,300,26.1,1007.85,0.40,33.72,12.00,32.2,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,77,10-14-2019,13:00:00,13.0,1011.28,230,25.6,1004.38,0.00,32.79,10.00,30.1,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,60,10-14-2019,13:00:00,5.6,1010.85,120,24.4,1005.35,0.01,30.53,8.00,33.2,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,81,10-14-2019,13:00:00,0.0,1012.20,000,27.5,1002.97,3.60,36.67,9.00,31.2,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,78,10-14-2019,13:00:00,0.0,1012.62,000,24.7,1011.36,15.30,31.13,12.00,29.0,5.80
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,72,10-14-2019,13:00:00,7.4,1011.76,140,25.9,1011.33,8.40,33.40,11.00,31.5,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,69,10-14-2019,13:00:00,3.7,1011.57,090,23.7,999.39,2.00,29.39,7.00,30.1,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,74,10-14-2019,13:00:00,5.6,1011.66,030,25.3,1010.95,16.60,32.26,10.00,30.4,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,68,10-14-2019,13:00:00,5.6,1012.01,160,25.6,1009.60,43.70,32.74,10.00,32.3,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,69,10-14-2019,13:00:00,9.3,1011.38,180,25.5,1010.87,6.90,32.69,8.00,32.0,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,63,10-14-2019,13:00:00,3.7,1011.06,010,24.1,1005.97,0.70,30.08,14.00,32.0,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,54,10-14-2019,13:00:00,0.0,1011.73,000,24.0,1011.32,17.40,29.80,9.00,34.8,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,69,10-14-2019,13:00:00,0.0,1011.72,000,26.2,1008.99,0.00,33.99,8.00,32.6,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,67,10-14-2019,13:00:00,7.4,1011.25,130,25.5,1010.48,30.70,32.58,10.00,32.5,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,65,10-14-2019,13:00:00,11.1,1011.08,260,25.6,1010.63,4.40,32.76,10.00,33.0,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,67,10-14-2019,13:00:00,11.1,1011.19,080,25.2,1010.52,9.30,32.02,10.00,32.1,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,67,10-14-2019,13:00:00,11.1,1011.53,050,25.0,1010.02,16.00,31.68,9.00,31.8,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,67,10-14-2019,13:00:00,3.7,1010.78,070,23.6,1009.87,11.90,29.06,10.00,30.5,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,89,10-14-2019,13:00:00,7.4,1012.59,090,24.8,1011.90,15.30,31.27,10.00,26.8,4.80
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,90,10-14-2019,13:00:00,3.7,1011.57,020,24.6,1010.77,1.20,30.86,8.00,26.3,1.20
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,88,10-14-2019,13:00:00,5.6,1011.25,310,25.9,1010.62,23.50,33.37,10.00,28.0,0.40
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,70,10-14-2019,13:00:00,14.8,1011.00,030,24.5,1010.59,7.00,30.74,10.00,30.5,0.70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,96,10-14-2019,13:00:00,0.0,1012.88,000,25.5,1008.64,8.30,32.59,6.00,26.2,2.90
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,65,10-14-2019,13:00:00,0.0,1010.97,000,23.7,1009.38,34.60,29.32,10.00,31.2,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,85,10-14-2019,13:00:00,0.0,1010.84,000,26.7,1007.38,1.70,35.05,12.00,29.5,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,90,10-14-2019,13:00:00,9.3,1012.16,060,25.7,1010.80,5.00,32.93,{'@attributes': {'Unit': 'km'}},27.5,4.40
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,73,10-14-2019,13:00:00,5.6,1010.58,240,24.7,1009.70,3.40,31.15,12.00,30.0,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,70,10-14-2019,13:00:00,5.6,1010.63,020,23.9,1007.10,5.80,29.66,10.00,30.1,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,64,10-14-2019,13:00:00,0.0,1010.10,000,24.5,1009.67,9.80,30.65,10.00,32.0,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,67,10-14-2019,13:00:00,5.6,1010.11,100,25.0,1009.13,5.40,31.68,10.00,31.8,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,74,10-14-2019,13:00:00,11.1,1010.52,120,26.0,1009.71,2.20,33.65,10.00,31.2,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,68,10-14-2019,13:00:00,9.3,1010.35,050,23.3,1008.54,11.50,28.64,12.00,30.0,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,70,10-14-2019,13:00:00,13.0,1010.66,350,25.2,1009.91,0.30,32.10,11.00,31.3,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,91,10-14-2019,13:00:00,25.9,1011.14,050,24.9,1007.12,25.00,31.52,8.00,26.5,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,72,10-14-2019,13:00:00,0.0,1010.66,000,25.9,1009.99,12.60,33.40,10.00,31.5,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,82,10-14-2019,13:00:00,0.0,1010.15,000,24.9,1009.04,4.00,31.51,8.00,28.2,4.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,67,10-14-2019,13:00:00,9.3,1010.18,030,25.4,1007.30,3.20,32.36,12.00,32.4,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,89,10-14-2019,13:00:00,0.0,1010.60,000,26.2,1009.91,12.20,34.07,10.00,28.2,12.20
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,64,10-14-2019,13:00:00,9.3,1010.01,030,24.0,1005.94,2.60,29.84,10.00,31.6,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,61,10-14-2019,13:00:00,11.1,1009.82,040,23.7,1009.24,16.00,29.22,12.00,32.0,0.00
