WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,VaporPressure,StationPressure,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,Rainfall,DewPoint,AirTemperature,LandVisibility
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,74,08-23-2019,10:00:00,180,32.17,1003.64,0.01,7.4,1011.59,0.00,25.3,30.5,12.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,66,08-23-2019,10:00:00,000,30.49,1009.45,0.00,0.0,1009.73,0.00,24.4,31.5,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,73,08-23-2019,10:00:00,270,31.48,1006.78,0.00,5.6,1009.88,0.00,24.9,30.3,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,72,08-23-2019,10:00:00,210,31.31,1003.40,0.00,7.4,1010.28,0.00,24.8,30.5,12.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,75,08-23-2019,10:00:00,280,32.75,1005.26,4.10,3.7,1010.82,0.00,25.6,30.5,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,71,08-23-2019,10:00:00,210,30.31,1001.53,0.00,18.5,1010.78,0.00,24.3,30.0,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,69,08-23-2019,10:00:00,000,29.47,1009.61,15.90,0.0,1010.87,0.00,23.8,30.0,12.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,76,08-23-2019,10:00:00,150,32.50,1009.67,0.00,5.6,1010.10,0.00,25.4,30.1,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,67,08-23-2019,10:00:00,230,27.88,997.93,0.00,11.1,1010.11,0.00,22.9,29.6,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,68,08-23-2019,10:00:00,000,30.73,1009.36,0.00,0.0,1010.06,0.00,24.5,31.2,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,60,08-23-2019,10:00:00,200,29.58,1007.95,0.00,7.4,1010.34,0.00,23.9,32.6,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,70,08-23-2019,10:00:00,220,31.06,1010.27,0.00,13.0,1010.79,0.00,24.7,30.8,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,68,08-23-2019,10:00:00,230,31.23,1005.06,0.01,1.9,1010.16,0.01,24.8,31.3,11.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,74,08-23-2019,10:00:00,190,32.46,1010.05,0.80,11.1,1010.46,0.00,25.4,30.5,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,73,08-23-2019,10:00:00,120,30.55,1008.39,0.00,3.7,1011.15,0.00,24.4,29.7,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,64,08-23-2019,10:00:00,000,28.06,1010.12,0.00,0.0,1010.90,0.00,23.0,30.7,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,87,08-23-2019,10:00:00,310,35.94,1010.68,20.90,7.4,1011.13,0.00,27.1,29.5,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,75,08-23-2019,10:00:00,320,30.60,1010.77,3.80,11.1,1011.45,0.00,24.4,29.3,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,79,08-23-2019,10:00:00,000,31.69,1009.83,0.80,0.0,1011.35,0.00,25.0,29.0,9.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,76,08-23-2019,10:00:00,210,31.89,1010.96,8.10,3.7,1011.88,0.00,25.1,29.8,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,53,08-23-2019,10:00:00,270,27.82,1010.71,0.00,5.6,1011.38,0.00,22.8,33.7,13.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,66,08-23-2019,10:00:00,250,31.52,1012.32,0.00,5.6,1013.10,0.00,24.9,32.0,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,65,08-23-2019,10:00:00,090,30.12,1010.70,0.00,7.4,1011.33,0.00,24.2,31.6,12.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,72,08-23-2019,10:00:00,000,31.60,1010.81,0.00,0.0,1011.21,0.00,25.0,30.5,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,59,08-23-2019,10:00:00,230,27.13,1009.42,0.00,7.4,1013.60,0.00,22.4,31.5,10.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,66,08-23-2019,10:00:00,000,27.71,1010.49,1.20,0.0,1012.09,0.00,22.8,29.8,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,72,08-23-2019,10:00:00,000,31.60,1007.50,0.50,0.0,1010.95,0.00,25.0,30.5,12.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,75,08-23-2019,10:00:00,120,31.72,1010.21,0.00,3.7,1011.55,0.00,25.0,30.0,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,96,08-23-2019,10:00:00,270,30.32,1011.07,41.00,11.1,1011.97,26.40,24.3,25.0,9.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,77,08-23-2019,10:00:00,140,31.25,1008.64,8.00,5.6,1012.19,0.00,24.8,29.2,10.00
