WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall,AirTemperature,Rainfall24Hr,StationPressure,RelativeHumidity,LandVisibility,DewPoint,WindDirection
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,13.0,07-08-2019,13:00:00,28.84,1005.41,0.00,35.6,0.00,989.73,50,10.00,23.4,300
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,9.3,07-08-2019,13:00:00,28.64,1006.91,0.00,33.4,0.00,993.18,56,10.00,23.3,280
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,07-08-2019,13:00:00,29.50,1007.60,0.00,33.4,0.00,993.07,57,10.00,23.8,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,9.3,07-08-2019,13:00:00,29.25,1007.78,0.00,33.7,0.00,993.42,56,10.00,23.7,240
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-08-2019,13:00:00,27.49,1007.58,0.00,34.1,0.00,1004.63,51,10.00,22.6,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,07-08-2019,13:00:00,28.77,1006.99,0.01,32.9,0.01,999.20,58,10.00,23.4,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,14.8,07-08-2019,13:00:00,30.32,1008.71,0.00,33.1,0.00,1007.63,60,8.00,24.3,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,07-08-2019,13:00:00,30.04,1006.72,0.00,33.8,0.00,992.36,57,10.00,24.1,000
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},7.4,07-08-2019,13:00:00,25.22,1008.30,0.01,21.7,0.01,874.06,97,4.00,21.2,220
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.7,07-08-2019,13:00:00,32.01,1007.39,0.00,35.0,0.00,1001.66,57,10.00,25.2,270
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,14.8,07-08-2019,13:00:00,35.50,1009.35,0.00,34.5,0.00,1008.57,65,10.00,26.9,270
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,13.0,07-08-2019,13:00:00,31.77,1008.95,0.00,32.4,0.00,1008.51,65,10.00,25.1,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,07-08-2019,13:00:00,29.33,1009.81,0.00,29.5,6.70,998.57,71,7.00,23.7,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,5.6,07-08-2019,13:00:00,29.83,1008.55,0.00,33.0,0.00,1007.55,59,12.00,24.0,230
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.4,07-08-2019,13:00:00,30.07,1008.21,0.00,33.4,0.00,1006.43,58,9.00,24.1,220
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,07-08-2019,13:00:00,32.26,1008.41,0.90,31.1,0.90,1007.65,71,9.00,25.3,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,20.4,07-08-2019,13:00:00,27.92,1008.76,0.00,32.9,0.00,1008.07,56,10.00,22.9,220
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.4,07-08-2019,13:00:00,34.40,1008.11,0.00,34.7,0.00,1007.43,62,8.00,26.4,240
