WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,Rainfall24Hr,LandVisibility,DewPoint,Rainfall,VaporPressure,MeanSeaLevelPressure,WindDirection,RelativeHumidity,WindSpeed
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.8,09-23-2019,16:00:00,1008.08,6.40,6.00,24.0,0.00,29.90,1009.60,110,76,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.1,09-23-2019,16:00:00,1008.49,0.00,9.00,24.2,0.00,30.25,1009.40,260,67,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.0,09-23-2019,16:00:00,1009.65,4.90,9.00,26.3,0.00,34.23,1010.34,000,91,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.0,09-23-2019,16:00:00,1009.10,22.80,8.00,24.6,0.00,30.87,1009.90,010,73,1.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.3,09-23-2019,16:00:00,1009.19,58.20,10.00,25.3,0.80,32.25,1009.83,320,89,3.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,27.5,09-23-2019,16:00:00,1009.55,9.20,10.00,25.7,2.00,32.93,1009.96,000,90,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.5,09-23-2019,16:00:00,1007.23,17.30,7.00,24.8,0.00,31.28,1011.42,000,76,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.5,09-23-2019,16:00:00,1007.94,11.40,8.00,22.9,0.00,27.96,1009.54,000,68,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,28.0,09-23-2019,16:00:00,1006.44,5.00,10.00,26.6,0.80,34.81,1009.92,000,92,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,28.2,09-23-2019,16:00:00,1008.19,24.30,4.00,25.5,3.40,32.63,1009.55,120,85,9.3
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.0,09-23-2019,16:00:00,1008.08,0.00,6.00,25.0,0.00,31.72,1008.96,000,75,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.5,09-23-2019,16:00:00,1005.83,1.80,7.00,24.0,0.00,29.87,1009.38,060,77,5.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.9,09-23-2019,16:00:00,1008.34,0.60,8.00,24.3,0.00,30.41,1008.77,030,68,3.7
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.4,09-23-2019,16:00:00,1007.77,2.80,7.00,24.1,0.00,29.98,1008.75,080,69,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.9,09-23-2019,16:00:00,1008.21,0.00,8.00,24.9,0.00,31.52,1009.02,080,75,14.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.2,09-23-2019,16:00:00,1007.02,4.20,4.00,24.5,0.00,30.70,1008.82,030,72,9.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.4,09-23-2019,16:00:00,1008.46,9.30,5.00,24.5,0.00,30.82,1009.20,060,71,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.7,09-23-2019,16:00:00,1005.31,0.01,5.00,24.1,0.00,30.01,1009.26,070,68,20.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.8,09-23-2019,16:00:00,1007.29,2.60,3.00,25.0,0.00,31.68,1007.97,280,67,7.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.5,09-23-2019,16:00:00,1008.27,0.80,7.00,24.0,0.00,29.89,1009.37,040,68,7.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.3,09-23-2019,16:00:00,1005.84,4.80,9.00,25.8,0.00,33.27,1008.73,060,73,7.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,32.0,09-23-2019,16:00:00,1008.05,0.00,6.00,26.4,0.00,34.49,1008.73,000,73,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,32.4,09-23-2019,16:00:00,1005.52,20.20,3.00,21.5,0.00,25.58,1009.58,070,53,13.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.5,09-23-2019,16:00:00,1009.04,0.00,7.00,24.8,0.00,31.31,1009.62,120,72,11.1
