WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,Rainfall24Hr,Rainfall,RelativeHumidity,MeanSeaLevelPressure,DewPoint,LandVisibility,WindSpeed,AirTemperature,StationPressure
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,130,09-22-2019,16:00:00,23.54,0.00,0.00,53,1009.92,20.1,12.00,5.6,30.7,990.62
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,040,09-22-2019,16:00:00,23.19,0.00,0.00,53,1010.72,19.9,10.00,5.6,30.5,994.12
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,050,09-22-2019,16:00:00,22.50,0.00,0.00,54,1010.87,19.4,10.00,9.3,29.8,993.57
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,080,09-22-2019,16:00:00,24.45,0.00,0.00,53,1008.98,20.7,12.00,9.3,31.5,983.55
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,09-22-2019,16:00:00,33.53,0.00,0.00,63,1009.03,26.0,10.00,0.0,33.9,1003.36
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,09-22-2019,16:00:00,31.57,0.00,0.00,63,1008.46,24.9,12.00,0.0,33.0,1002.38
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,09-22-2019,16:00:00,24.55,0.00,0.00,49,1009.68,20.8,12.00,0.0,33.0,993.52
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,090,09-22-2019,16:00:00,22.51,0.40,0.00,45,1006.12,19.4,10.00,13.0,32.9,984.25
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,09-22-2019,16:00:00,31.60,7.10,0.00,67,1009.43,25.0,6.00,0.0,31.9,995.24
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,09-22-2019,16:00:00,26.18,17.90,0.00,55,1009.95,21.8,12.00,0.0,32.0,993.79
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,210,09-22-2019,16:00:00,26.29,0.00,0.00,68,1008.72,21.9,10.00,5.6,28.3,1003.51
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,09-22-2019,16:00:00,28.41,0.00,0.00,59,1007.60,23.2,12.00,0.0,32.3,994.62
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,290,09-22-2019,16:00:00,28.25,7.30,0.00,58,1008.93,23.1,11.00,3.7,32.5,999.76
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,090,09-22-2019,16:00:00,26.56,1.80,0.00,58,1009.34,22.1,10.00,13.0,31.2,987.91
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,030,09-22-2019,16:00:00,29.87,7.50,0.00,56,1008.78,24.0,12.00,7.4,34.0,991.65
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,060,09-22-2019,16:00:00,24.89,0.00,0.00,59,1009.92,21.0,12.00,9.3,30.0,994.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,050,09-22-2019,16:00:00,29.51,8.60,0.00,62,1008.55,23.8,10.00,11.1,32.0,989.94
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,09-22-2019,16:00:00,25.71,21.60,0.00,64,1007.32,21.6,11.00,0.0,29.0,956.63
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,180,09-22-2019,16:00:00,31.60,8.30,0.00,70,1008.19,25.0,5.00,7.4,31.2,1004.28
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,060,09-22-2019,16:00:00,22.35,0.00,0.00,69,1009.05,19.3,8.00,11.1,25.5,914.97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,060,09-22-2019,16:00:00,29.70,2.00,0.00,68,1009.59,23.9,10.00,9.3,30.4,993.74
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,110,09-22-2019,16:00:00,30.08,17.50,0.01,73,1009.08,24.1,8.00,9.3,29.6,1005.07
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,080,09-22-2019,16:00:00,27.43,1.00,0.00,58,1009.37,22.6,8.00,9.3,31.8,998.84
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,050,09-22-2019,16:00:00,25.91,11.60,0.00,54,1009.08,21.7,12.00,9.3,32.0,1007.18
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,070,09-22-2019,16:00:00,25.02,2.60,0.00,56,1008.91,21.1,10.00,7.4,30.8,988.27
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,080,09-22-2019,16:00:00,25.63,0.00,0.00,58,1008.98,21.5,11.00,16.7,30.7,991.49
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,050,09-22-2019,16:00:00,26.61,0.50,0.00,57,1009.03,22.1,10.00,13.0,31.8,993.09
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,130,09-22-2019,16:00:00,28.26,0.00,0.00,64,1009.39,23.1,10.00,9.3,30.8,995.50
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,09-22-2019,16:00:00,30.31,0.00,0.00,71,1010.40,24.3,9.00,0.0,30.0,995.67
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,090,09-22-2019,16:00:00,31.15,1.30,0.00,73,1009.60,24.7,10.00,3.7,30.0,995.04
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",09-22-2019,16:00:00,29.80,8.10,0.00,65,1009.13,24.0,10.00,0.0,31.3,1006.15
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,080,09-22-2019,16:00:00,29.96,2.20,0.00,64,1008.62,24.1,10.00,11.1,31.8,1000.78
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,050,09-22-2019,16:00:00,29.49,11.30,0.00,77,1009.00,23.8,7.00,11.1,28.3,1007.90
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,09-22-2019,16:00:00,36.34,0.00,0.00,78,1009.11,27.3,8.00,0.0,31.6,994.61
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,050,09-22-2019,16:00:00,21.25,29.60,0.00,98,1009.96,18.5,.10,11.1,18.8,874.28
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,09-22-2019,16:00:00,29.88,0.00,0.00,72,1009.12,24.0,8.00,0.0,29.5,1003.28
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,100,09-22-2019,16:00:00,31.45,1.90,0.00,77,1009.02,24.9,8.00,5.6,29.3,1008.22
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,150,09-22-2019,16:00:00,27.18,2.90,0.01,70,1008.71,22.5,10.00,18.5,28.5,1008.26
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,09-22-2019,16:00:00,30.59,38.20,0.00,72,1009.06,24.4,8.00,0.0,30.0,997.84
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,350,09-22-2019,16:00:00,32.09,36.30,0.00,73,1009.10,25.2,10.00,7.4,30.6,1008.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,140,09-22-2019,16:00:00,29.00,64.10,0.00,69,1009.03,23.5,8.00,16.7,29.9,1007.22
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,09-22-2019,16:00:00,29.74,37.00,0.00,74,1009.03,23.9,8.00,0.0,29.0,1008.26
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,050,09-22-2019,16:00:00,26.18,2.40,0.00,70,1009.08,21.8,9.00,16.7,27.8,1008.38
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,09-22-2019,16:00:00,28.85,37.90,1.60,88,1008.66,23.4,6.00,0.0,25.5,1007.95
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,080,09-22-2019,16:00:00,29.74,27.00,2.10,79,1009.16,23.9,9.00,9.3,28.0,988.03
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,09-22-2019,16:00:00,28.89,22.70,0.00,69,1009.33,23.5,10.00,0.0,29.7,992.72
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,090,09-22-2019,16:00:00,28.91,26.20,0.00,68,1009.89,23.5,10.00,11.1,30.0,993.58
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,110,09-22-2019,16:00:00,28.16,12.80,0.00,72,1008.99,23.0,10.00,5.6,28.6,987.21
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,050,09-22-2019,16:00:00,25.94,11.10,0.01,79,1009.26,21.7,4.00,7.4,25.6,965.73
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,070,09-22-2019,16:00:00,29.98,34.20,0.01,81,1009.32,24.1,10.00,9.3,27.7,988.76
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,060,09-22-2019,16:00:00,31.34,19.60,0.00,81,1011.26,24.8,8.00,14.8,28.4,990.45
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,270,09-22-2019,16:00:00,30.01,97.20,3.50,91,1009.55,24.1,9.00,3.7,25.7,1009.11
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,09-22-2019,16:00:00,29.50,94.60,0.60,88,1008.69,23.8,10.00,0.0,26.0,1007.27
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,100,09-22-2019,16:00:00,30.56,13.10,0.00,81,1009.21,24.4,8.00,7.4,28.0,1004.28
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,250,09-22-2019,16:00:00,30.90,16.80,5.60,94,1009.67,24.6,11.00,7.4,25.6,1006.36
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,120,09-22-2019,16:00:00,32.08,6.30,2.90,87,1009.60,25.2,8.00,7.4,27.5,1008.49
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,040,09-22-2019,16:00:00,26.87,2.70,0.00,66,1008.97,22.3,9.00,5.6,29.2,1008.68
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,040,09-22-2019,16:00:00,27.67,4.90,0.00,68,1008.94,22.8,10.00,5.6,29.2,1008.25
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,120,09-22-2019,16:00:00,29.81,2.20,0.00,68,1008.60,24.0,10.00,3.7,30.6,1008.11
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,120,09-22-2019,16:00:00,27.18,4.40,0.00,70,1009.05,22.5,9.00,11.1,28.5,1007.64
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,060,09-22-2019,16:00:00,32.76,60.00,0.10,88,1009.14,25.6,8.00,16.7,27.7,1007.46
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,09-22-2019,16:00:00,29.95,7.30,0.00,89,1010.25,24.1,10.00,0.0,26.1,1002.19
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,09-22-2019,16:00:00,29.90,84.30,0.00,76,1008.52,24.0,10.00,0.0,28.8,1008.24
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,09-22-2019,16:00:00,29.36,34.80,0.00,79,1008.73,23.7,10.00,0.0,27.8,1005.60
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,270,09-22-2019,16:00:00,28.78,5.40,0.00,74,1009.13,23.4,10.00,7.4,28.5,1002.21
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,180,09-22-2019,16:00:00,31.56,42.00,0.00,84,1010.53,24.9,10.00,16.7,27.8,1004.93
