WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,Rainfall24Hr,VaporPressure,DewPoint,LandVisibility,WindSpeed,Rainfall,StationPressure,MeanSeaLevelPressure,RelativeHumidity
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,270,08-17-2019,10:00:00,30.5,1.50,32.75,25.6,10.00,1.9,0.00,1007.59,1008.68,75
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,210,08-17-2019,10:00:00,30.7,0.00,30.58,24.4,10.00,11.1,0.00,1008.54,1008.83,69
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,190,08-17-2019,10:00:00,30.5,0.00,29.89,24.0,10.00,7.4,0.00,1008.01,1008.69,68
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,140,08-17-2019,10:00:00,30.8,0.00,30.49,24.4,10.00,3.7,0.00,1008.07,1008.55,69
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,250,08-17-2019,10:00:00,31.3,12.60,29.80,24.0,10.00,18.5,0.00,1007.41,1008.80,65
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,08-17-2019,10:00:00,29.2,0.00,32.96,25.7,10.00,22.2,0.00,1007.38,1009.05,81
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,180,08-17-2019,10:00:00,29.5,0.60,31.28,24.8,10.00,3.7,0.00,1003.23,1011.20,76
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,270,08-17-2019,10:00:00,31.0,0.60,32.34,25.4,10.00,7.4,0.00,1008.65,1008.93,72
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,230,08-17-2019,10:00:00,31.0,0.00,30.33,24.3,12.00,5.6,0.00,1005.80,1008.90,68
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,270,08-17-2019,10:00:00,30.2,0.00,30.14,24.2,12.00,9.3,0.00,1002.47,1009.36,70
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,220,08-17-2019,10:00:00,32.6,0.10,32.20,25.3,8.00,11.1,0.00,999.96,1005.45,65
