WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,MeanSeaLevelPressure,MaximumTemperature,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,WindSpeed,Rainfall,Rainfall24Hr
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-05-2019,19:00:00,1006.56,1006.99,34.5,31.5,22.8,60,27.68,10.00,000,0.0,0.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-05-2019,19:00:00,1005.87,1006.85,34.7,30.6,24.5,70,30.66,10.00,000,0.0,0.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-05-2019,19:00:00,1006.80,1007.60,34.0,29.8,24.4,73,30.47,10.00,000,0.0,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-05-2019,19:00:00,1004.92,1006.71,34.4,29.6,25.2,77,32.05,10.00,000,0.0,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-05-2019,19:00:00,1006.38,1007.13,32.1,28.7,24.4,78,30.54,10.00,080,1.9,0.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-05-2019,19:00:00,1002.63,1006.60,34.5,29.1,24.1,74,29.93,10.00,000,0.0,0.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-05-2019,19:00:00,1008.09,1008.77,32.7,28.0,25.1,85,31.95,10.00,000,0.0,0.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-05-2019,19:00:00,1005.77,1006.87,33.2,30.2,23.4,67,28.75,10.00,000,0.0,0.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-05-2019,19:00:00,1003.77,1006.66,33.3,29.5,25.1,77,31.85,10.00,000,0.0,0.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-05-2019,19:00:00,1005.54,1006.24,34.1,25.2,24.0,93,29.89,6.00,000,0.0,0.00,12.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-05-2019,19:00:00,1003.54,1007.68,33.4,25.6,23.8,90,29.56,7.00,000,0.0,0.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-05-2019,19:00:00,1007.26,1007.84,32.8,28.5,24.9,81,31.54,10.00,000,0.0,0.00,0.00
