WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,LandVisibility,AirTemperature,VaporPressure,WindDirection,RelativeHumidity,WindSpeed
48331,NAN,น่าน,น่าน,18.77972,100.77778,985.68,07-27-2019,13:00:00,0.20,4.00,23.2,1008.42,10.00,27.9,28.47,200,76,3.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,978.63,07-27-2019,13:00:00,1.10,5.80,22.5,1008.63,8.00,25.6,27.21,210,83,5.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,973.35,07-27-2019,13:00:00,3.40,9.00,23.2,1009.15,4.00,24.2,28.36,000,94,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,976.58,07-27-2019,13:00:00,0.00,0.00,22.4,1005.52,17.00,34.0,27.01,270,51,7.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1002.85,07-27-2019,13:00:00,1.40,3.10,23.0,1010.21,6.00,25.5,28.07,000,86,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,986.60,07-27-2019,13:00:00,0.00,0.00,24.2,1006.04,20.00,33.5,30.28,250,59,18.5
48353,LOEI,เลย,เลย,17.45000,101.73333,978.39,07-27-2019,13:00:00,0.00,0.00,20.1,1006.43,15.00,33.0,23.48,320,47,7.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,986.75,07-27-2019,13:00:00,0.00,0.70,22.5,1006.52,15.00,32.7,27.25,290,55,16.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,984.92,07-27-2019,13:00:00,0.00,0.00,23.3,1006.27,15.00,32.0,28.66,270,60,11.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.54,07-27-2019,13:00:00,0.00,0.00,22.7,1005.65,15.00,32.3,27.58,290,57,11.1
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,990.21,07-27-2019,13:00:00,0.00,13.20,24.5,1006.72,12.00,31.1,30.82,320,68,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,989.90,07-27-2019,13:00:00,0.00,6.50,24.2,1007.21,10.00,28.5,30.15,310,78,7.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,979.60,07-27-2019,13:00:00,0.00,0.00,22.9,1004.80,14.00,33.0,27.84,260,55,14.8
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.68,07-27-2019,13:00:00,0.10,0.10,25.4,1008.47,8.00,27.1,32.41,360,90,3.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.66,07-27-2019,13:00:00,0.30,0.50,24.4,1008.86,8.00,27.0,30.56,000,86,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,991.82,07-27-2019,13:00:00,0.00,0.80,21.9,1008.03,10.00,31.5,26.32,000,57,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.21,07-27-2019,13:00:00,0.00,1.60,22.5,1007.42,10.00,28.5,27.18,270,70,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,994.53,07-27-2019,13:00:00,0.00,0.00,21.0,1008.80,10.00,30.0,24.89,280,59,16.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,991.79,07-27-2019,13:00:00,0.00,0.00,22.4,1008.00,12.00,30.5,27.14,000,62,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.55,07-27-2019,13:00:00,0.00,0.01,23.6,1008.75,10.00,29.1,29.11,190,72,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,993.67,07-27-2019,13:00:00,0.00,1.10,22.9,1006.71,10.00,30.5,27.95,000,64,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,999.44,07-27-2019,13:00:00,0.00,0.90,22.0,1008.64,12.00,31.3,26.48,000,58,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.88,07-27-2019,13:00:00,0.00,4.30,23.3,1006.05,10.00,34.1,28.63,300,54,13.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,988.46,07-27-2019,13:00:00,0.00,0.00,24.2,1005.56,12.00,33.5,30.28,000,59,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,990.36,07-27-2019,13:00:00,0.00,2.80,23.1,1005.89,12.00,32.5,28.25,220,58,9.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,986.86,07-27-2019,13:00:00,0.00,0.00,23.3,1005.30,10.00,33.8,28.59,010,54,3.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,957.06,07-27-2019,13:00:00,3.80,6.70,22.9,1008.22,10.00,26.4,27.85,000,81,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.97,07-27-2019,13:00:00,0.01,5.00,23.2,1008.93,6.00,27.6,28.45,000,77,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.27,07-27-2019,13:00:00,0.20,2.90,20.2,1009.31,1.50,22.4,23.70,260,88,9.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,990.56,07-27-2019,13:00:00,0.00,0.00,23.6,1006.18,10.00,33.9,29.08,270,55,11.1
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.54,07-27-2019,13:00:00,0.00,0.00,22.7,1008.51,10.00,31.7,27.52,280,59,1.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,998.29,07-27-2019,13:00:00,0.00,0.00,20.2,1008.79,10.00,32.5,23.63,000,48,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.54,07-27-2019,13:00:00,0.00,0.00,19.3,1008.42,13.00,34.4,22.33,010,41,13.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,986.17,07-27-2019,13:00:00,0.00,0.01,17.4,1006.60,12.00,33.3,19.88,290,39,14.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,988.56,07-27-2019,13:00:00,0.00,0.10,22.5,1005.84,10.00,33.4,27.23,270,53,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,990.07,07-27-2019,13:00:00,0.00,0.10,22.5,1005.86,10.00,33.7,27.26,210,52,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.98,07-27-2019,13:00:00,0.00,0.01,23.2,1006.81,10.00,31.3,28.40,280,62,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,992.52,07-27-2019,13:00:00,0.00,2.00,26.3,1007.13,9.00,31.5,34.30,000,74,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,992.71,07-27-2019,13:00:00,0.00,0.50,23.9,1007.13,8.00,32.2,29.63,240,62,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.19,07-27-2019,13:00:00,0.00,0.01,17.4,1008.13,10.00,35.5,19.86,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",34,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,999.93,07-27-2019,13:00:00,0.00,0.01,22.9,1007.79,10.00,30.6,27.87,270,63,5.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.33,07-27-2019,13:00:00,0.00,0.00,21.0,1008.42,9.00,33.2,24.92,200,49,11.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.89,07-27-2019,13:00:00,0.00,0.00,25.1,1007.34,9.00,31.9,31.89,000,67,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,873.14,07-27-2019,13:00:00,0.00,17.60,20.6,1005.81,8.00,24.7,24.21,300,78,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1002.02,07-27-2019,13:00:00,0.00,0.00,21.8,1007.78,10.00,33.5,26.04,230,50,3.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.75,07-27-2019,13:00:00,0.00,0.00,20.3,1008.54,10.00,34.5,23.85,300,44,13.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.08,07-27-2019,13:00:00,0.00,0.01,23.3,1008.52,10.00,32.0,28.66,210,60,14.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,998.17,07-27-2019,13:00:00,0.00,4.30,23.7,1009.40,10.00,29.5,29.33,000,71,0.0
