WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,DewPoint,MeanSeaLevelPressure,StationPressure,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,Rainfall24Hr,WindDirection
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,08-25-2019,22:00:00,0.0,24.5,1005.23,975.50,25.5,30.71,0.00,94,1.20,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,08-25-2019,22:00:00,0.0,24.9,1006.14,998.86,27.5,31.52,0.00,86,7.30,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.00,08-25-2019,22:00:00,3.7,24.5,1005.16,985.26,26.2,30.67,26.80,90,26.80,220
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,08-25-2019,22:00:00,3.7,23.5,1005.70,977.16,27.3,28.96,0.00,80,1.20,150
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,08-25-2019,22:00:00,3.7,25.1,1005.05,984.94,27.1,31.85,0.00,89,60.10,150
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,08-25-2019,22:00:00,0.0,24.6,1006.88,985.10,26.0,30.84,0.00,92,2.60,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,08-25-2019,22:00:00,0.0,25.4,1005.69,986.18,26.1,32.40,0.00,96,13.50,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,08-25-2019,22:00:00,0.0,24.2,1006.69,989.85,25.2,30.15,0.20,94,9.40,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,08-25-2019,22:00:00,0.0,23.8,1006.96,989.45,25.0,29.52,0.00,93,1.30,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,08-25-2019,22:00:00,0.0,26.0,1005.38,979.76,28.1,33.57,0.00,88,24.50,000
