WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,WindSpeed,DewPoint,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,AirTemperature,LandVisibility,RelativeHumidity,StationPressure
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,35.30,08-23-2019,16:00:00,6.30,0.0,26.8,000,1006.23,6.90,29.2,11.00,87,1004.82
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.51,08-23-2019,16:00:00,12.60,0.0,25.4,000,1006.42,30.70,26.3,8.00,95,1001.47
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.43,08-23-2019,16:00:00,0.00,11.1,22.6,230,1006.05,0.01,33.5,12.00,53,1002.83
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.58,08-23-2019,16:00:00,0.00,0.0,25.5,000,1006.22,1.30,32.5,10.00,67,1005.13
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.90,08-23-2019,16:00:00,0.00,11.1,24.6,210,1006.34,3.70,31.0,10.00,69,1006.05
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.76,08-23-2019,16:00:00,0.00,3.7,25.0,210,1006.42,14.50,31.0,10.00,71,1005.74
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.90,08-23-2019,16:00:00,0.00,5.6,25.1,120,1006.35,19.50,32.6,10.00,65,1005.87
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.28,08-23-2019,16:00:00,0.00,13.0,24.2,240,1006.45,6.40,32.1,10.00,63,1005.07
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,34.88,08-23-2019,16:00:00,0.00,22.2,26.6,190,1006.55,0.00,29.7,10.00,84,1004.89
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.31,08-23-2019,16:00:00,0.00,3.7,24.8,230,1007.78,0.01,30.5,10.00,72,999.87
