WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,StationPressure,AirTemperature,WindSpeed,LandVisibility,VaporPressure,Rainfall,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall24Hr
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,92,07-11-2019,22:00:00,916.45,21.5,14.8,7.00,23.51,0.00,220,20.1,1012.02,1.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,78,07-11-2019,22:00:00,992.85,29.8,0.0,8.00,32.75,0.00,000,25.6,1008.71,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,74,07-11-2019,22:00:00,1005.93,30.3,0.0,10.00,31.76,0.00,000,25.0,1009.93,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,74,07-11-2019,22:00:00,1000.25,29.0,0.0,8.00,29.74,0.00,000,23.9,1010.90,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,75,07-11-2019,22:00:00,1008.70,29.4,0.0,9.00,30.80,0.00,000,24.5,1010.62,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,65,07-11-2019,22:00:00,989.15,29.7,0.0,10.00,27.26,0.00,000,22.5,1009.88,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,78,07-11-2019,22:00:00,991.20,29.0,0.0,10.00,31.41,0.00,000,24.9,1008.78,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,68,07-11-2019,22:00:00,992.66,30.5,11.1,10.00,29.89,0.00,180,24.0,1008.66,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,80,07-11-2019,22:00:00,995.94,28.9,3.7,10.00,31.77,0.00,120,25.1,1009.92,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,87,07-11-2019,22:00:00,996.32,27.3,0.0,8.00,31.69,0.00,000,25.0,1011.20,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,80,07-11-2019,22:00:00,995.40,28.8,0.0,8.00,31.86,0.00,000,25.1,1010.03,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,70,07-11-2019,22:00:00,1006.77,30.7,0.0,10.00,30.86,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.6,1009.76,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,70,07-11-2019,22:00:00,1001.69,29.8,0.0,8.00,29.36,0.00,000,23.7,1009.59,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,73,07-11-2019,22:00:00,1009.12,29.5,7.4,8.00,30.16,0.00,180,24.2,1010.22,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,86,07-11-2019,22:00:00,993.39,28.9,3.7,8.00,34.07,0.00,100,26.2,1008.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,98,07-11-2019,22:00:00,876.24,20.4,5.6,3.00,23.49,0.00,180,20.1,1011.44,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,78,07-11-2019,22:00:00,1004.06,30.0,0.0,10.00,33.17,0.00,000,25.8,1009.90,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,75,07-11-2019,22:00:00,1009.86,30.5,3.7,8.00,32.75,0.00,180,25.6,1010.66,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,73,07-11-2019,22:00:00,1009.65,29.9,11.1,10.00,30.95,0.00,210,24.6,1010.10,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,79,07-11-2019,22:00:00,1000.80,26.7,0.0,6.00,27.60,0.00,000,22.7,1012.17,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,70,07-11-2019,22:00:00,1009.56,29.5,7.4,10.00,28.78,0.00,210,23.4,1010.57,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,73,07-11-2019,22:00:00,1008.38,29.6,3.7,9.00,30.35,0.00,180,24.3,1010.19,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,73,07-11-2019,22:00:00,1009.83,28.6,0.0,8.00,28.70,0.00,000,23.4,1010.59,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,78,07-11-2019,22:00:00,1009.95,28.5,13.0,10.00,30.15,0.00,200,24.2,1010.66,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,73,07-11-2019,22:00:00,1009.54,29.2,0.0,7.00,29.57,0.00,000,23.9,1010.24,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,64,07-11-2019,22:00:00,988.93,30.0,3.7,10.00,27.01,0.00,260,22.4,1009.93,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,75,07-11-2019,22:00:00,993.12,29.0,0.0,8.00,30.01,0.00,000,24.1,1009.77,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,76,07-11-2019,22:00:00,994.00,29.0,3.7,6.00,30.29,0.00,180,24.3,1010.38,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,66,07-11-2019,22:00:00,987.89,28.2,0.0,10.00,25.08,0.00,000,21.1,1009.72,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,70,07-11-2019,22:00:00,966.97,27.5,3.7,12.00,25.65,0.00,160,21.5,1010.27,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,66,07-11-2019,22:00:00,988.23,29.0,3.7,10.00,26.50,0.00,210,22.0,1008.69,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,79,07-11-2019,22:00:00,990.41,29.4,9.3,8.00,32.22,0.00,190,25.3,1011.14,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,78,07-11-2019,22:00:00,1010.29,29.7,11.1,10.00,32.54,0.00,210,25.5,1010.72,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,85,07-11-2019,22:00:00,1008.89,28.0,0.0,8.00,31.95,0.00,000,25.1,1010.31,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,84,07-11-2019,22:00:00,1005.67,27.9,0.0,8.00,31.47,0.00,000,24.9,1010.60,0.00
