WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,DewPoint,WindSpeed,RelativeHumidity,AirTemperature,WindDirection,MeanSeaLevelPressure,Rainfall,LandVisibility,VaporPressure
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,995.56,10-09-2019,13:00:00,0.00,23.9,5.6,58,33.3,240,1009.34,0.00,10.00,29.58
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,995.89,10-09-2019,13:00:00,0.00,24.9,0.0,61,33.4,000,1010.46,0.00,10.00,31.54
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,996.39,10-09-2019,13:00:00,0.00,25.8,3.7,67,32.8,200,1010.84,0.00,10.00,33.22
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.26,10-09-2019,13:00:00,28.10,24.2,0.0,64,31.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1010.24,0.00,10.00,30.24
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1002.37,10-09-2019,13:00:00,15.30,23.9,9.3,69,30.2,040,1010.26,0.01,10.00,29.58
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1010.11,10-09-2019,13:00:00,2.60,25.7,5.6,63,33.7,310,1011.20,0.00,8.00,33.08
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,995.65,10-09-2019,13:00:00,0.00,24.8,3.7,66,31.9,100,1010.14,0.00,8.00,31.31
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,876.78,10-09-2019,13:00:00,45.80,19.2,0.0,99,19.4,000,1012.55,36.80,2.00,22.28
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.20,10-09-2019,13:00:00,8.90,27.2,5.6,85,30.0,060,1010.04,2.80,5.00,36.14
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.58,10-09-2019,13:00:00,0.00,24.8,5.6,59,34.0,010,1010.37,0.00,8.00,31.34
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.77,10-09-2019,13:00:00,6.40,25.9,11.1,69,32.3,230,1010.21,0.00,10.00,33.34
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,998.73,10-09-2019,13:00:00,5.30,24.2,0.0,59,33.5,000,1009.82,0.00,10.00,30.28
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.82,10-09-2019,13:00:00,0.00,24.4,3.7,64,32.1,340,1010.81,0.00,8.00,30.57
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.63,10-09-2019,13:00:00,24.50,25.2,3.7,68,32.0,030,1010.43,0.00,7.00,32.10
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.30,10-09-2019,13:00:00,0.00,24.0,0.0,59,33.0,000,1010.05,0.00,9.00,29.83
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.16,10-09-2019,13:00:00,0.60,24.5,3.7,61,33.0,110,1009.85,0.00,10.00,30.69
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1010.27,10-09-2019,13:00:00,0.00,23.0,7.4,59,32.0,060,1010.96,0.00,10.00,28.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,989.66,10-09-2019,13:00:00,0.00,24.6,5.6,73,30.0,090,1010.68,0.00,9.00,30.87
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,993.53,10-09-2019,13:00:00,0.00,25.3,5.6,71,31.2,040,1010.06,0.00,9.00,32.18
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,994.75,10-09-2019,13:00:00,0.00,25.5,3.7,74,30.7,180,1011.04,0.00,14.00,32.59
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,989.09,10-09-2019,13:00:00,8.20,24.2,0.0,92,25.7,000,1011.13,8.20,8.00,30.28
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,967.63,10-09-2019,13:00:00,0.40,23.7,9.3,86,26.2,050,1011.16,0.40,9.00,29.33
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,989.68,10-09-2019,13:00:00,3.90,24.9,5.6,74,30.0,320,1010.10,0.00,10.00,31.44
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,991.37,10-09-2019,13:00:00,0.00,26.0,9.3,73,31.3,030,1011.99,0.00,10.00,33.57
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.62,10-09-2019,13:00:00,0.00,25.4,0.0,70,31.6,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1010.05,0.00,10.00,32.43
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.82,10-09-2019,13:00:00,23.70,26.0,5.6,67,33.0,030,1010.21,0.00,11.00,33.66
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.21,10-09-2019,13:00:00,0.00,25.3,5.6,64,32.9,120,1010.07,0.00,10.00,32.25
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.89,10-09-2019,13:00:00,0.00,23.2,3.7,53,34.0,100,1010.11,0.00,10.00,28.43
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.35,10-09-2019,13:00:00,0.00,23.8,7.4,58,33.1,040,1010.44,0.00,10.00,29.46
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.96,10-09-2019,13:00:00,0.01,23.6,5.6,58,33.1,160,1010.26,0.00,10.00,29.17
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1010.25,10-09-2019,13:00:00,0.00,24.7,3.7,62,33.1,130,1010.92,0.00,10.00,31.20
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.53,10-09-2019,13:00:00,0.00,25.1,1.9,69,31.6,110,1010.01,0.00,8.00,31.85
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.88,10-09-2019,13:00:00,0.00,24.4,9.3,61,32.9,020,1010.27,0.00,10.00,30.49
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.66,10-09-2019,13:00:00,5.80,25.2,0.0,73,30.6,000,1010.33,0.00,8.00,32.09
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.94,10-09-2019,13:00:00,2.50,24.0,0.0,62,32.2,000,1011.84,0.00,10.00,29.91
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.26,10-09-2019,13:00:00,23.30,26.6,14.8,75,31.6,270,1009.54,0.00,4.00,34.82
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.97,10-09-2019,13:00:00,84.50,26.1,0.0,75,31.0,000,1010.07,0.00,10.00,33.81
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1003.49,10-09-2019,13:00:00,10.90,25.8,11.1,78,30.0,330,1010.39,0.00,8.00,33.17
