WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,LandVisibility,VaporPressure,Rainfall24Hr,RelativeHumidity,DewPoint,WindSpeed,AirTemperature,StationPressure,MeanSeaLevelPressure
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,120,09-20-2019,10:00:00,0.00,12.00,27.94,0.60,58,22.9,3.7,32.2,993.69,1010.86
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,110,09-20-2019,10:00:00,0.00,15.00,31.72,20.80,75,25.0,13.0,30.0,984.18,1009.75
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,240,09-20-2019,10:00:00,0.01,10.00,33.74,4.70,83,26.1,3.7,29.3,1004.80,1010.56
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,130,09-20-2019,10:00:00,0.20,12.00,34.46,0.20,84,26.4,5.6,29.5,1004.47,1010.64
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,09-20-2019,10:00:00,0.00,12.00,29.33,0.50,71,23.7,0.0,29.5,994.35,1010.71
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,270,09-20-2019,10:00:00,0.00,10.00,30.56,1.20,81,24.4,3.7,28.0,986.80,1009.08
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,09-20-2019,10:00:00,0.00,5.00,31.80,36.30,87,25.1,0.0,27.5,997.05,1011.48
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,09-20-2019,10:00:00,0.00,7.00,31.87,2.00,84,25.1,0.0,28.1,994.23,1010.60
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,030,09-20-2019,10:00:00,0.10,10.00,32.67,6.00,81,25.5,9.3,29.2,1005.54,1010.74
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,09-20-2019,10:00:00,0.50,12.00,31.55,2.50,90,24.9,0.0,26.8,996.16,1009.39
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,010,09-20-2019,10:00:00,0.20,10.00,31.64,8.60,74,25.0,3.7,30.1,1001.41,1010.67
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,100,09-20-2019,10:00:00,0.00,12.00,31.05,0.70,77,24.7,13.0,29.1,988.88,1010.49
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,110,09-20-2019,10:00:00,0.00,10.00,31.94,0.00,81,25.1,11.1,28.7,993.49,1010.96
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,050,09-20-2019,10:00:00,0.00,12.00,31.31,4.30,72,24.8,9.3,30.5,994.18,1009.87
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,09-20-2019,10:00:00,0.50,10.00,33.70,0.80,91,26.0,0.0,27.6,991.12,1010.02
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,09-20-2019,10:00:00,0.00,9.00,28.07,8.30,86,23.0,0.0,25.5,958.60,1010.01
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,270,09-20-2019,10:00:00,0.00,10.00,32.96,41.90,85,25.7,3.7,28.5,1006.22,1010.17
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,070,09-20-2019,10:00:00,1.70,.80,25.53,5.70,95,21.4,5.6,22.2,916.04,1011.32
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,09-20-2019,10:00:00,0.30,8.00,32.20,3.30,87,25.3,0.0,27.7,994.97,1010.98
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,060,09-20-2019,10:00:00,0.01,9.00,33.78,68.50,92,26.1,1.9,27.5,1006.93,1010.97
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,09-20-2019,10:00:00,0.20,7.00,31.70,7.00,82,25.0,0.0,28.3,1000.82,1011.49
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,09-20-2019,10:00:00,0.00,8.00,31.38,24.50,88,24.8,0.0,27.0,1009.13,1011.06
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,030,09-20-2019,10:00:00,0.30,10.00,29.82,134.00,79,24.0,13.0,27.9,989.60,1010.46
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,09-20-2019,10:00:00,2.00,10.00,31.38,40.90,88,24.8,0.0,27.0,992.90,1010.62
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,09-20-2019,10:00:00,3.60,10.00,32.08,37.30,87,25.2,0.0,27.5,994.01,1010.19
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,160,09-20-2019,10:00:00,0.00,10.00,30.56,26.60,81,24.4,7.4,28.0,996.31,1010.34
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,09-20-2019,10:00:00,0.20,8.00,30.02,27.80,84,24.1,0.0,27.0,996.18,1011.06
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,210,09-20-2019,10:00:00,1.00,8.00,33.19,11.10,96,25.8,3.7,26.5,996.06,1010.81
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",09-20-2019,10:00:00,0.00,10.00,32.38,8.70,92,25.4,0.0,26.8,1007.21,1010.24
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,09-20-2019,10:00:00,0.40,7.00,30.67,7.80,85,24.5,0.0,27.2,1002.73,1010.71
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,000,09-20-2019,10:00:00,0.00,8.00,32.80,3.70,87,25.6,0.0,28.0,1009.20,1010.31
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,09-20-2019,10:00:00,4.00,8.00,25.24,11.80,67,21.3,0.0,28.0,995.54,1010.23
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,000,09-20-2019,10:00:00,6.00,{'@attributes': {'Unit': 'km'}},23.28,7.20,99,19.9,0.0,20.1,875.98,1011.29
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,110,09-20-2019,10:00:00,0.60,5.00,32.94,2.00,94,25.7,5.6,26.8,1005.12,1011.03
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,360,09-20-2019,10:00:00,0.00,7.00,33.82,19.10,87,26.1,9.3,28.5,1009.76,1010.57
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,120,09-20-2019,10:00:00,0.00,10.00,32.35,81.20,85,25.4,5.6,28.2,1009.96,1010.40
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,09-20-2019,10:00:00,0.00,6.00,30.56,27.60,86,24.4,0.0,27.0,999.17,1010.51
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,09-20-2019,10:00:00,0.00,10.00,32.88,47.00,84,25.6,0.0,28.6,1009.98,1010.99
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,09-20-2019,10:00:00,0.00,6.00,31.82,15.80,82,25.1,0.0,28.5,1009.00,1010.82
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,040,09-20-2019,10:00:00,0.00,8.00,31.34,0.70,81,24.8,3.7,28.4,1009.81,1010.57
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,070,09-20-2019,10:00:00,0.00,9.00,29.43,0.40,75,23.8,7.4,28.7,1009.94,1010.64
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,180,09-20-2019,10:00:00,0.00,7.00,32.75,38.20,81,25.6,3.7,29.1,1009.80,1010.50
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,320,09-20-2019,10:00:00,2.80,8.00,31.22,9.00,92,24.8,7.4,26.2,989.26,1010.54
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,270,09-20-2019,10:00:00,0.00,10.00,31.05,61.90,85,24.7,3.7,27.4,993.81,1010.56
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,09-20-2019,10:00:00,0.00,9.00,30.72,91.50,82,24.5,0.0,27.8,994.33,1010.78
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,09-20-2019,10:00:00,0.01,10.00,30.56,5.50,86,24.4,0.0,27.0,988.75,1010.69
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,060,09-20-2019,10:00:00,0.00,3.00,29.00,14.40,83,23.5,7.4,26.6,967.53,1011.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,150,09-20-2019,10:00:00,0.00,10.00,30.48,20.90,80,24.4,3.7,28.1,990.11,1010.67
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,350,09-20-2019,10:00:00,0.00,10.00,33.01,85.40,90,25.7,5.6,27.4,991.40,1012.30
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,070,09-20-2019,10:00:00,0.00,8.00,32.36,5.60,88,25.4,5.6,27.5,1009.81,1010.24
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,09-20-2019,10:00:00,0.00,11.00,32.51,2.10,83,25.4,0.0,28.7,1008.52,1009.93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,09-20-2019,10:00:00,0.00,8.00,32.36,2.50,88,25.4,0.0,27.5,1005.69,1010.63
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,080,09-20-2019,10:00:00,0.00,8.00,31.69,0.30,79,25.0,3.7,29.0,1007.54,1010.82
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,09-20-2019,10:00:00,0.00,10.00,30.98,0.00,80,24.6,0.0,28.5,1009.81,1010.92
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,09-20-2019,10:00:00,0.00,10.00,31.74,52.20,81,25.0,0.0,28.6,1010.36,1010.66
