WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MaximumTemperature,VaporPressure,LandVisibility,WindDirection,StationPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,Rainfall,AirTemperature,RelativeHumidity
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-13-2019,19:00:00,31.8,31.64,10.00,210,1007.44,1007.88,20.4,25.0,0.00,0.00,30.1,74
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-13-2019,19:00:00,27.8,31.91,4.00,000,997.49,1008.83,0.0,25.1,11.90,0.00,26.7,91
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-13-2019,19:00:00,34.5,33.58,10.00,270,1006.98,1007.99,3.7,26.0,0.40,0.00,29.5,81
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-13-2019,19:00:00,34.4,34.05,7.00,190,1005.94,1007.75,3.7,26.2,0.00,0.00,30.0,80
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-13-2019,19:00:00,33.1,30.63,8.00,000,1007.01,1007.77,0.0,24.4,0.60,0.00,29.6,74
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-13-2019,19:00:00,33.6,31.13,10.00,200,1007.35,1008.05,18.5,24.7,0.00,0.00,29.0,78
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-13-2019,19:00:00,33.7,32.63,7.00,000,1006.86,1007.56,0.0,25.5,0.10,0.00,28.9,82
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-13-2019,19:00:00,35.1,31.00,10.00,200,986.35,1007.46,9.3,24.6,1.40,0.20,27.8,83
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-13-2019,19:00:00,33.8,28.89,5.00,190,991.73,1008.61,5.6,23.5,33.20,20.40,24.5,94
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-13-2019,19:00:00,33.7,29.33,5.00,090,987.52,1004.03,3.7,23.7,40.00,36.10,24.6,95
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-13-2019,19:00:00,34.5,31.79,10.00,000,985.57,1007.47,0.0,25.1,14.30,0.00,26.5,92
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-13-2019,19:00:00,31.0,31.30,9.00,000,964.44,1007.83,0.0,24.8,0.90,0.90,26.1,93
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-13-2019,19:00:00,34.1,31.25,7.00,120,986.99,1007.66,5.6,24.8,17.40,7.20,25.5,96
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-13-2019,19:00:00,32.1,31.49,9.00,190,988.49,1009.48,16.7,24.9,0.00,0.00,25.2,98
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-13-2019,19:00:00,32.1,32.68,10.00,200,1007.41,1007.84,14.8,25.5,5.70,0.01,27.8,88
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-13-2019,19:00:00,32.2,33.91,8.00,000,1006.41,1007.83,0.0,26.1,6.80,0.50,27.0,95
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-13-2019,19:00:00,31.6,32.86,7.00,000,1002.93,1007.87,0.0,25.6,0.80,0.80,26.9,93
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-13-2019,19:00:00,33.0,30.34,12.00,000,1004.38,1007.64,0.0,24.3,1.20,1.20,30.3,70
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-13-2019,19:00:00,34.1,31.19,10.00,000,1006.54,1007.63,0.0,24.7,0.01,0.00,30.3,72
