WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,DewPoint,Rainfall24Hr,WindSpeed
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,07-19-2019,04:00:00,981.62,34.87,1001.26,87,0.00,29.0,10.00,26.6,0.00,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,320,07-19-2019,04:00:00,973.51,29.54,1002.15,92,0.00,25.3,12.00,23.8,0.00,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,000,07-19-2019,04:00:00,982.03,30.81,1002.04,83,0.00,27.7,10.00,24.5,0.00,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,180,07-19-2019,04:00:00,980.66,30.28,1002.20,80,0.00,28.0,12.00,24.3,0.00,7.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,140,07-19-2019,04:00:00,982.02,30.70,1001.29,79,0.00,28.5,10.00,24.5,0.00,1.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,120,07-19-2019,04:00:00,985.65,31.98,1002.20,80,0.00,29.0,10.00,25.2,0.00,1.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,07-19-2019,04:00:00,985.26,33.26,1002.58,93,0.00,27.1,10.00,25.8,0.00,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,07-19-2019,04:00:00,975.29,29.66,1001.00,89,0.00,25.8,10.00,23.9,0.00,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,210,07-19-2019,04:00:00,997.06,27.97,1002.80,72,0.00,28.5,10.00,22.9,0.00,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,07-19-2019,04:00:00,995.35,30.01,1001.49,79,0.00,28.0,10.00,24.1,0.00,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-19-2019,04:00:00,987.10,30.18,1003.48,86,0.00,26.8,8.00,24.2,0.00,0.0
