WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,Rainfall24Hr,LandVisibility,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure,WindDirection,Rainfall,StationPressure
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1006.35,08-26-2019,16:00:00,24.3,0.30,10.00,27.6,3.7,82,30.34,260,0.30,1005.72
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.94,08-26-2019,16:00:00,23.4,0.01,10.00,30.9,7.4,64,28.73,280,0.00,1006.54
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.82,08-26-2019,16:00:00,21.9,0.00,7.00,30.0,9.3,62,26.21,280,0.00,1005.65
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.17,08-26-2019,16:00:00,23.8,8.00,10.00,26.0,0.0,88,29.50,000,1.20,1006.55
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.72,08-26-2019,16:00:00,24.5,2.20,8.00,27.0,0.0,87,30.83,000,0.50,1005.24
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.58,08-26-2019,16:00:00,23.6,0.00,10.00,29.8,11.1,69,29.08,310,0.00,1006.23
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.14,08-26-2019,16:00:00,25.8,11.00,10.00,29.9,9.3,79,33.25,250,0.00,1007.26
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.93,08-26-2019,16:00:00,24.8,1.10,10.00,29.1,5.6,78,31.33,270,0.00,1004.39
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.82,08-26-2019,16:00:00,23.8,0.40,10.00,31.0,9.3,66,29.48,250,0.00,1007.39
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.98,08-26-2019,16:00:00,24.0,0.00,10.00,30.5,13.0,68,29.89,290,0.00,1007.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.13,08-26-2019,16:00:00,25.7,0.00,10.00,29.1,22.2,82,33.04,280,0.00,1007.32
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.64,08-26-2019,16:00:00,25.6,0.00,10.00,30.5,0.0,75,32.75,000,0.00,1005.85
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1007.91,08-26-2019,16:00:00,22.9,0.01,11.00,30.3,9.3,65,27.85,220,0.01,1007.17
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.29,08-26-2019,16:00:00,24.6,9.60,10.00,26.8,3.7,88,31.00,090,9.60,1004.29
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.34,08-26-2019,16:00:00,23.7,0.00,10.00,28.5,0.0,75,29.33,000,0.00,1007.66
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.12,08-26-2019,16:00:00,24.0,0.00,12.00,27.3,5.6,82,29.77,170,0.00,1006.01
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.36,08-26-2019,16:00:00,25.4,2.80,10.00,26.8,5.6,92,32.38,260,2.80,1005.44
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.94,08-26-2019,16:00:00,23.1,15.30,6.00,23.3,5.6,99,28.33,210,15.30,1007.25
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.92,08-26-2019,16:00:00,23.6,0.90,6.00,25.5,18.5,89,29.11,290,0.90,1004.77
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.72,08-26-2019,16:00:00,25.0,2.60,9.00,30.0,11.1,75,31.72,010,2.60,1007.14
