WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MinimumTemperature,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,VaporPressure,StationPressure,MeanSeaLevelPressure,WindDirection,Rainfall24Hr,AirTemperature
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,21.2,09-29-2019,07:00:00,19.5,0.00,95,0.0,3.00,25.21,998.02,1015.87,000,0.00,22.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,21.2,09-29-2019,07:00:00,21.6,0.00,95,0.0,7.00,25.21,988.73,1015.13,000,0.00,22.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.1,09-29-2019,07:00:00,24.9,0.00,98,3.7,6.00,31.87,1008.72,1014.58,290,0.00,25.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.3,09-29-2019,07:00:00,24.5,0.00,96,5.6,5.00,30.32,1008.56,1014.84,020,0.00,25.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,20.6,09-29-2019,07:00:00,22.1,0.00,88,0.0,8.00,24.25,999.18,1016.00,000,0.00,22.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,21.8,09-29-2019,07:00:00,22.3,0.00,93,3.7,6.00,26.09,990.72,1013.48,090,0.00,23.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.9,09-29-2019,07:00:00,23.4,0.00,94,0.0,6.00,27.84,1000.88,1015.54,000,0.00,23.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.8,09-29-2019,07:00:00,23.5,0.00,96,0.0,7.00,29.41,998.64,1015.29,000,0.00,24.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.9,09-29-2019,07:00:00,24.7,0.00,90,0.0,10.00,29.74,1009.59,1014.88,000,0.00,25.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,22.0,09-29-2019,07:00:00,23.0,0.00,91,0.0,10.00,26.42,1000.43,1013.87,000,0.00,23.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.7,09-29-2019,07:00:00,23.9,0.00,96,0.0,5.00,29.23,1005.00,1014.47,000,0.00,24.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,22.0,09-29-2019,07:00:00,23.5,0.00,89,3.7,4.00,26.50,993.42,1015.51,330,0.00,24.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,21.2,09-29-2019,07:00:00,24.0,0.00,80,0.0,8.00,25.19,997.06,1014.81,000,0.00,25.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,20.6,09-29-2019,07:00:00,22.0,0.00,85,0.0,10.00,24.23,998.59,1014.74,000,0.00,23.2
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,22.2,09-29-2019,07:00:00,22.1,0.00,96,0.0,5.00,26.83,995.27,1014.55,000,0.00,23.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,18.1,09-29-2019,07:00:00,18.4,0.00,94,0.0,.80,20.79,964.53,1017.40,000,0.00,19.1
