WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,RelativeHumidity,WindDirection,LandVisibility,VaporPressure,DewPoint,StationPressure,AirTemperature,MeanSeaLevelPressure,WindSpeed
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-19-2019,10:00:00,0.00,71,000,8.00,30.31,24.3,992.62,30.0,1008.87,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-19-2019,10:00:00,0.90,74,110,10.00,31.64,25.0,1004.09,30.1,1009.27,7.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-19-2019,10:00:00,0.20,75,000,12.00,31.72,25.0,994.78,30.0,1007.86,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-19-2019,10:00:00,3.10,73,040,10.00,32.09,25.2,999.57,30.6,1008.80,5.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-19-2019,10:00:00,0.01,74,240,10.00,31.84,25.1,986.87,30.2,1008.35,7.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-19-2019,10:00:00,0.00,65,220,10.00,30.94,24.6,991.34,32.0,1008.58,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-19-2019,10:00:00,0.00,66,250,12.00,30.69,24.5,991.82,31.6,1007.42,7.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-19-2019,10:00:00,0.00,69,000,10.00,30.09,24.1,988.36,30.6,1007.02,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-19-2019,10:00:00,1.80,79,000,10.00,27.33,22.6,957.81,26.4,1009.01,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-19-2019,10:00:00,0.10,75,000,8.00,30.60,24.4,1005.11,29.3,1009.04,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,08-19-2019,10:00:00,4.70,95,260,.90,25.06,21.1,914.60,21.9,1009.84,11.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-19-2019,10:00:00,3.70,78,000,10.00,32.54,25.5,992.23,29.7,1008.09,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-19-2019,10:00:00,4.80,80,090,10.00,33.00,25.7,1005.19,29.5,1009.20,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-19-2019,10:00:00,0.00,63,160,10.00,28.37,23.2,999.44,31.0,1010.00,5.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-19-2019,10:00:00,0.00,66,000,12.00,29.76,24.0,1007.59,31.0,1009.50,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-19-2019,10:00:00,0.00,62,280,10.00,26.03,21.7,988.00,29.9,1008.69,7.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-19-2019,10:00:00,0.00,69,240,10.00,29.27,23.7,990.46,29.9,1007.98,13.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-19-2019,10:00:00,0.00,67,230,10.00,29.06,23.6,991.82,30.5,1007.81,14.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-19-2019,10:00:00,0.00,71,180,10.00,31.15,24.7,994.67,30.7,1008.55,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-19-2019,10:00:00,0.00,70,230,10.00,32.10,25.2,994.24,31.3,1008.89,3.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-19-2019,10:00:00,1.50,72,300,10.00,33.40,25.9,994.93,31.5,1009.42,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-19-2019,10:00:00,0.00,67,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,29.06,23.6,1006.30,30.5,1009.29,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.01,08-19-2019,10:00:00,0.01,72,000,10.00,29.30,23.7,1001.48,29.2,1009.39,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-19-2019,10:00:00,0.00,68,190,8.00,28.91,23.5,1009.12,30.0,1010.22,13.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-19-2019,10:00:00,0.00,69,200,8.00,30.78,24.5,994.55,30.8,1009.08,7.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-19-2019,10:00:00,0.20,90,260,8.00,22.46,19.4,875.64,21.1,1010.41,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-19-2019,10:00:00,0.00,78,200,10.00,30.15,24.2,1003.64,28.5,1009.51,11.1
