WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,VaporPressure,Rainfall,LandVisibility,Rainfall24Hr,DewPoint,AirTemperature,WindSpeed,StationPressure,RelativeHumidity
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,060,09-24-2019,13:00:00,1011.79,30.70,0.00,8.00,0.00,24.5,30.9,7.4,999.63,69
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,030,09-24-2019,13:00:00,1011.95,31.06,0.00,9.00,0.00,24.7,30.8,9.3,1011.24,70
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,180,09-24-2019,13:00:00,1011.03,30.69,0.00,9.00,0.01,24.5,33.0,7.4,1008.63,61
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,210,09-24-2019,13:00:00,1011.15,33.88,0.00,10.00,0.10,26.1,32.0,9.3,1010.64,71
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,190,09-24-2019,13:00:00,1010.90,32.30,0.00,12.00,0.00,25.3,33.2,3.7,1005.83,63
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,050,09-24-2019,13:00:00,1010.80,30.00,0.00,8.00,0.50,24.1,31.4,14.8,1010.39,65
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,050,09-24-2019,13:00:00,1010.82,34.34,0.00,8.00,0.70,26.4,30.0,7.4,1008.07,81
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,030,09-24-2019,13:00:00,1010.78,31.47,0.00,10.00,1.30,24.9,31.0,9.3,1010.00,70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,240,09-24-2019,13:00:00,1011.08,31.12,0.00,8.00,0.70,24.7,29.7,3.7,1010.62,75
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,070,09-24-2019,13:00:00,1011.41,31.93,0.00,10.00,0.00,25.1,31.5,3.7,1010.74,69
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,090,09-24-2019,13:00:00,1010.87,32.18,0.00,8.00,0.00,25.3,31.2,9.3,1009.36,71
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,080,09-24-2019,13:00:00,1010.35,28.76,0.00,10.00,0.00,23.4,33.6,7.4,1009.45,55
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,080,09-24-2019,13:00:00,1011.26,33.72,0.00,9.00,0.30,26.1,30.4,14.8,1010.58,78
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,020,09-24-2019,13:00:00,1010.86,35.00,2.70,7.00,2.80,26.7,29.2,3.7,1010.06,86
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,09-24-2019,13:00:00,1010.11,32.13,0.00,7.00,1.30,25.2,29.5,0.0,1009.48,78
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,060,09-24-2019,13:00:00,1010.48,32.72,0.00,10.00,6.50,25.5,30.9,11.1,1010.08,73
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,080,09-24-2019,13:00:00,1012.84,33.83,4.40,6.00,4.60,26.1,29.2,7.4,1008.64,83
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,09-24-2019,13:00:00,1010.23,25.77,0.00,10.00,0.00,21.6,32.5,0.0,1008.64,53
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,090,09-24-2019,13:00:00,1010.11,30.94,0.00,12.00,0.80,24.6,31.3,7.4,1006.67,68
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,100,09-24-2019,13:00:00,1010.39,33.14,0.00,8.00,3.40,25.8,31.1,11.1,1009.05,73
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,270,09-24-2019,13:00:00,1010.00,31.10,0.00,6.00,0.00,24.7,31.8,18.5,1009.13,66
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,060,09-24-2019,13:00:00,1009.67,27.95,0.00,8.00,0.00,22.9,33.2,9.3,1006.18,55
