WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,MeanSeaLevelPressure,WindDirection,VaporPressure,StationPressure,WindSpeed,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-06-2019,13:00:00,20.8,1008.21,260,24.59,1006.64,9.3,0.00,47,0.00,33.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,12.00,08-06-2019,13:00:00,22.8,1007.49,000,27.73,1004.10,0.0,0.00,51,0.00,34.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,12.00,08-06-2019,13:00:00,20.2,1006.46,270,23.60,1005.14,9.3,0.00,42,0.00,34.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-06-2019,13:00:00,24.5,1008.22,240,30.65,1007.35,18.5,0.00,67,0.00,31.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-06-2019,13:00:00,21.8,1007.97,000,26.17,1004.48,0.0,0.00,52,0.00,33.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-06-2019,13:00:00,21.9,1007.68,270,26.29,1007.26,16.7,0.00,49,0.00,34.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-06-2019,13:00:00,23.7,1007.75,240,29.25,1006.77,9.3,0.00,58,0.00,33.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-06-2019,13:00:00,26.4,1008.26,230,34.32,1007.45,22.2,0.00,71,0.00,32.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,14.00,08-06-2019,13:00:00,20.7,1007.55,270,24.34,1005.78,13.0,0.00,46,0.00,33.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,12.00,08-06-2019,13:00:00,22.6,1006.67,290,27.45,1005.94,5.6,0.00,50,0.00,34.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-06-2019,13:00:00,20.5,1006.99,240,24.15,1003.10,18.5,0.00,43,0.00,34.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-06-2019,13:00:00,24.0,1007.78,000,29.83,1007.11,0.0,0.00,62,0.00,32.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-06-2019,13:00:00,21.3,1006.60,260,25.30,1005.51,11.1,0.00,47,0.00,34.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,11.00,08-06-2019,13:00:00,22.8,1007.25,250,27.81,1004.40,24.1,0.00,51,0.00,34.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10.00,08-06-2019,13:00:00,24.2,1006.49,230,30.28,1005.81,7.4,0.00,59,0.00,33.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,8.00,08-06-2019,13:00:00,23.7,1007.71,200,29.38,1003.66,5.6,0.00,60,0.00,32.5
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,08-06-2019,13:00:00,21.3,1007.75,000,25.37,1007.18,0.0,0.00,53,0.00,32.0
