WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,LandVisibility,AirTemperature,Rainfall24Hr,DewPoint,Rainfall,StationPressure,WindSpeed,VaporPressure,WindDirection
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1001.45,08-10-2019,04:00:00,88,10.00,26.5,0.10,24.3,0.00,1000.35,0.0,30.43,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1001.59,08-10-2019,04:00:00,81,10.00,27.7,1.70,24.2,0.00,1001.29,7.4,30.26,220
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1001.70,08-10-2019,04:00:00,84,10.00,27.5,1.00,24.6,0.00,1001.21,0.0,30.97,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1002.16,08-10-2019,04:00:00,76,10.00,27.7,3.60,23.2,0.00,1000.76,14.8,28.37,230
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.27,08-10-2019,04:00:00,95,10.00,25.5,0.01,24.6,0.00,995.25,0.0,30.98,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1001.47,08-10-2019,04:00:00,83,7.00,28.2,0.60,25.1,0.00,1001.19,0.0,31.79,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1001.58,08-10-2019,04:00:00,81,10.00,28.5,0.50,24.9,0.00,998.48,7.4,31.54,250
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.87,08-10-2019,04:00:00,84,10.00,27.5,0.70,24.6,0.00,994.98,13.0,30.97,260
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1002.11,08-10-2019,04:00:00,90,8.00,25.3,0.00,23.5,0.00,996.50,5.6,29.01,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1002.59,08-10-2019,04:00:00,91,10.00,26.1,0.10,24.5,0.00,1001.33,0.0,30.76,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1000.06,08-10-2019,04:00:00,81,11.00,27.4,28.00,23.8,0.00,999.63,16.7,29.42,200
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1002.25,08-10-2019,04:00:00,92,10.00,24.8,0.40,23.3,0.00,989.96,3.7,28.64,180
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1002.18,08-10-2019,04:00:00,83,10.00,26.7,0.00,23.6,0.00,1001.47,9.3,29.19,210
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1003.13,08-10-2019,04:00:00,81,10.00,27.7,12.30,24.1,0.00,1000.71,7.4,29.98,200
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1002.78,08-10-2019,04:00:00,85,8.00,28.0,0.50,25.1,0.50,1002.27,13.0,31.95,230
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.11,08-10-2019,04:00:00,83,8.00,27.3,3.30,24.1,0.00,996.99,0.0,30.04,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1002.90,08-10-2019,04:00:00,90,7.00,26.7,65.80,24.8,0.00,1002.48,0.0,31.35,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1003.05,08-10-2019,04:00:00,96,8.00,26.2,94.50,25.5,0.00,1000.28,0.0,32.59,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1003.62,08-10-2019,04:00:00,87,10.00,24.5,1.70,22.3,0.30,1002.83,0.0,26.84,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1002.91,08-10-2019,04:00:00,88,6.00,27.5,99.00,25.4,0.30,1002.45,13.0,32.36,280
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1004.36,08-10-2019,04:00:00,94,7.00,24.7,35.30,23.7,0.10,1003.67,0.0,29.25,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.13,08-10-2019,04:00:00,92,8.00,25.0,53.00,23.5,0.00,1003.59,7.4,29.00,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1005.74,08-10-2019,04:00:00,94,10.00,25.2,83.50,24.2,2.50,1004.82,9.3,30.15,210
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1005.19,08-10-2019,04:00:00,78,8.00,26.8,1.70,22.7,0.00,1004.50,5.6,27.52,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.20,08-10-2019,04:00:00,98,7.00,23.8,11.30,23.5,2.60,1005.39,3.7,28.95,210
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1005.16,08-10-2019,04:00:00,88,10.00,24.9,5.10,22.8,2.10,1004.53,9.3,27.79,320
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1005.32,08-10-2019,04:00:00,95,10.00,24.6,2.10,23.7,1.40,1004.91,0.0,29.33,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.66,08-10-2019,04:00:00,85,6.00,26.0,1.20,23.2,0.00,1003.43,11.1,28.44,270
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.06,08-10-2019,04:00:00,98,5.00,23.4,21.20,23.1,5.00,1005.43,0.0,28.25,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.83,08-10-2019,04:00:00,97,5.00,23.6,13.30,23.2,9.00,1004.31,0.0,28.34,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.33,08-10-2019,04:00:00,87,8.00,26.0,0.80,23.7,0.01,1004.98,14.8,29.23,290
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1006.77,08-10-2019,04:00:00,94,10.00,24.7,114.60,23.7,5.60,1005.88,0.0,29.25,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.73,08-10-2019,04:00:00,94,8.00,24.8,8.80,23.8,1.20,1003.14,0.0,29.42,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.00,08-10-2019,04:00:00,92,10.00,25.5,18.20,24.0,1.00,1006.56,0.0,29.91,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1005.84,08-10-2019,04:00:00,83,8.00,27.0,40.40,23.8,1.00,1004.85,0.0,29.48,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.50,08-10-2019,04:00:00,84,10.00,28.0,11.20,25.0,0.00,1006.69,25.9,31.67,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.23,08-10-2019,04:00:00,96,9.00,24.5,33.40,23.8,1.90,1005.40,0.0,29.41,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.86,08-10-2019,04:00:00,90,10.00,24.6,3.60,22.8,0.10,1006.10,11.1,27.78,250
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.24,08-10-2019,04:00:00,90,10.00,24.8,20.40,23.0,0.40,1003.22,9.3,28.13,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.48,08-10-2019,04:00:00,96,10.00,24.8,37.00,24.1,0.00,1007.79,0.0,29.95,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.91,08-10-2019,04:00:00,95,10.00,24.6,11.40,23.7,0.00,1005.79,0.0,29.33,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.58,08-10-2019,04:00:00,96,10.00,23.8,27.50,23.1,0.00,1004.63,0.0,28.18,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1006.97,08-10-2019,04:00:00,91,6.00,24.5,10.40,23.0,0.60,1006.28,0.0,28.11,000
