WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,WindSpeed,StationPressure,AirTemperature,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,RelativeHumidity
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,22.30,10-13-2019,22:00:00,31.00,3.7,1011.06,25.8,24.6,1011.36,22.30,8.00,290,93
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,4.80,10-13-2019,22:00:00,31.24,0.0,1010.58,26.5,24.8,1011.07,4.80,10.00,000,90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,10-13-2019,22:00:00,30.48,14.8,1010.01,28.1,24.4,1011.42,0.01,10.00,170,80
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-13-2019,22:00:00,30.71,0.0,1005.03,25.5,24.5,1013.12,0.00,10.00,000,94
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1.20,10-13-2019,22:00:00,32.77,0.0,1011.02,27.0,25.6,1011.31,1.20,4.00,000,92
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-13-2019,22:00:00,32.36,0.0,1007.89,27.5,25.4,1011.03,0.40,10.00,000,88
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-13-2019,22:00:00,32.45,0.0,1004.09,27.4,25.4,1011.05,42.60,10.00,000,89
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-13-2019,22:00:00,32.52,0.0,1006.18,28.0,25.4,1011.79,0.00,10.00,000,86
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-13-2019,22:00:00,32.23,0.0,1009.71,28.0,25.3,1010.97,0.01,8.00,000,85
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-13-2019,22:00:00,31.89,5.6,1010.21,29.8,25.1,1010.64,0.60,11.00,240,76
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-13-2019,22:00:00,30.30,0.0,999.66,26.0,24.3,1012.02,0.00,6.00,000,90
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-13-2019,22:00:00,33.62,3.7,1010.41,29.1,26.0,1011.12,0.00,10.00,300,83
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,43.30,10-13-2019,22:00:00,29.08,0.0,1009.45,24.9,23.6,1011.92,60.00,7.00,000,92
