WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,MinimumTemperature,VaporPressure,DewPoint,Rainfall,AirTemperature,StationPressure,WindSpeed,LandVisibility,RelativeHumidity,Rainfall24Hr,WindDirection
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1009.88,09-19-2019,07:00:00,23.0,27.58,22.7,0.00,23.6,987.25,0.0,10.00,95,19.50,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,1011.24,09-19-2019,07:00:00,24.5,29.41,23.8,0.00,24.5,996.67,0.0,6.00,96,28.90,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1011.92,09-19-2019,07:00:00,24.0,29.41,23.8,5.00,24.5,995.32,0.0,6.00,96,9.20,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1010.24,09-19-2019,07:00:00,25.0,31.25,24.8,0.00,25.5,1004.97,3.7,10.00,96,25.40,060
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1008.96,09-19-2019,07:00:00,25.7,32.07,25.2,0.00,26.5,995.72,0.0,10.00,93,1.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1010.47,09-19-2019,07:00:00,23.4,29.39,23.8,0.00,24.2,1001.02,0.0,10.00,97,51.90,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1010.35,09-19-2019,07:00:00,26.1,28.03,23.0,0.00,26.5,988.57,3.7,9.00,81,0.01,030
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1010.18,09-19-2019,07:00:00,25.0,30.18,24.2,0.00,26.8,992.62,3.7,10.00,86,0.00,080
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1010.34,09-19-2019,07:00:00,25.2,27.93,22.9,0.00,26.3,994.42,3.7,10.00,82,0.00,060
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1009.67,09-19-2019,07:00:00,25.0,30.19,24.2,0.01,25.8,990.67,0.0,8.00,91,0.01,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1013.06,09-19-2019,07:00:00,21.0,24.03,20.5,0.00,22.0,960.91,0.0,7.00,91,2.10,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1010.27,09-19-2019,07:00:00,24.2,29.36,23.7,0.00,25.2,1006.27,0.0,4.00,92,5.00,000
