WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,Rainfall,VaporPressure,RelativeHumidity,Rainfall24Hr,WindDirection,StationPressure,WindSpeed,MeanSeaLevelPressure,AirTemperature
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,08-05-2019,04:00:00,19.0,0.80,22.01,99,3.50,190,870.25,7.4,1005.10,19.2
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-05-2019,04:00:00,24.1,0.00,30.05,95,19.50,000,997.30,0.0,1003.19,25.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-05-2019,04:00:00,23.1,0.20,28.18,84,1.80,240,1003.11,3.7,1003.91,26.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.00,08-05-2019,04:00:00,22.9,6.00,27.92,96,41.70,000,992.90,0.0,1004.31,23.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.00,08-05-2019,04:00:00,24.8,2.70,31.22,97,3.30,180,1002.20,3.7,1003.21,25.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,08-05-2019,04:00:00,23.7,0.00,29.21,89,0.01,200,1001.79,3.7,1003.61,25.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,6.00,08-05-2019,04:00:00,24.3,1.20,30.32,96,1.70,000,1002.24,0.0,1003.01,25.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,08-05-2019,04:00:00,24.7,0.20,31.02,87,0.20,200,1003.55,16.7,1004.25,27.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-05-2019,04:00:00,24.6,0.01,30.94,86,0.01,090,1003.02,3.7,1003.72,27.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-05-2019,04:00:00,22.8,0.00,27.69,80,0.01,280,982.01,1.9,1003.11,26.6
