WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,DewPoint,AirTemperature,WindSpeed,WindDirection,StationPressure,Rainfall24Hr,VaporPressure,Rainfall,MinimumTemperature,RelativeHumidity,LandVisibility
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-04-2019,07:00:00,1013.33,21.5,26.3,1.9,100,996.45,0.00,25.62,0.00,25.5,75,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-04-2019,07:00:00,1012.50,22.2,25.0,0.0,000,994.89,0.00,26.69,0.00,22.9,84,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-04-2019,07:00:00,1009.93,24.8,26.0,0.0,000,984.01,0.01,31.38,0.01,25.5,93,7.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-04-2019,07:00:00,1010.64,25.3,26.0,3.7,330,1004.81,0.00,32.20,0.00,24.9,96,6.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-04-2019,07:00:00,1010.69,24.7,25.3,0.0,000,1004.44,0.00,31.14,0.00,24.9,97,4.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-04-2019,07:00:00,1011.24,23.0,24.6,0.0,000,994.61,0.00,28.03,0.00,23.8,91,7.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-04-2019,07:00:00,1009.71,21.9,23.0,0.0,000,987.04,0.00,26.33,0.00,22.3,94,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-04-2019,07:00:00,1011.20,23.8,24.5,0.0,000,996.64,0.00,29.41,0.00,24.0,96,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-04-2019,07:00:00,1010.56,23.6,24.8,0.0,000,994.00,0.00,29.16,0.00,24.0,93,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-04-2019,07:00:00,1010.45,25.0,26.0,3.7,080,1005.19,0.00,31.65,0.00,25.4,94,5.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-04-2019,07:00:00,1008.25,24.0,25.5,0.0,000,994.97,0.00,29.91,0.00,25.0,92,8.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-04-2019,07:00:00,1010.32,23.7,25.0,0.0,000,1000.91,0.00,29.26,0.00,24.4,92,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-04-2019,07:00:00,1010.47,25.1,26.0,3.7,160,988.64,0.00,31.93,0.00,25.2,95,5.00
