WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,AirTemperature,StationPressure,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-23-2019,10:00:00,23.2,29.0,979.86,0.0,10.00,1007.15,71,000,28.37,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.20,07-23-2019,10:00:00,23.9,27.5,973.84,9.3,10.00,1007.26,81,360,29.60,0.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-23-2019,10:00:00,22.5,30.3,988.45,3.7,15.00,1006.72,63,270,27.30,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1.30,07-23-2019,10:00:00,24.0,26.5,984.97,0.0,10.00,1007.80,86,000,29.89,1.30
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.40,07-23-2019,10:00:00,24.1,27.0,977.80,7.4,9.00,1007.64,84,240,30.02,0.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-23-2019,10:00:00,22.3,29.2,971.83,0.0,8.00,1006.98,66,000,26.87,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-23-2019,10:00:00,24.6,29.2,976.55,5.6,12.00,1005.96,76,070,30.96,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-23-2019,10:00:00,24.0,30.5,999.65,0.0,10.00,1006.86,68,000,29.89,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-23-2019,10:00:00,26.3,30.5,986.28,0.0,12.00,1005.92,78,000,34.22,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-23-2019,10:00:00,23.1,29.5,977.94,5.6,12.00,1006.30,68,160,28.23,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.01,07-23-2019,10:00:00,23.9,30.2,986.40,3.7,15.00,1006.33,69,240,29.58,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,19.40,07-23-2019,10:00:00,24.1,28.0,985.18,5.6,12.00,1006.82,79,210,30.01,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,20.70,07-23-2019,10:00:00,25.0,27.7,987.29,1.9,15.00,1006.71,85,240,31.64,0.30
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,43.40,07-23-2019,10:00:00,24.1,27.0,991.03,1.9,10.00,1007.78,84,060,30.02,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,39.40,07-23-2019,10:00:00,24.2,26.7,990.37,0.0,10.00,1007.79,86,000,30.26,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-23-2019,10:00:00,24.0,30.6,980.17,7.4,11.00,1005.60,68,130,29.81,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-23-2019,10:00:00,24.6,31.0,1001.49,0.0,10.00,1007.20,69,000,30.90,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-23-2019,10:00:00,25.3,31.1,1000.95,7.4,12.00,1007.06,71,270,32.26,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-23-2019,10:00:00,25.9,30.4,991.37,0.0,10.00,1007.63,77,000,33.42,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-23-2019,10:00:00,24.3,30.0,984.37,5.6,10.00,1006.45,71,240,30.31,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.01,07-23-2019,10:00:00,23.9,30.8,993.41,9.3,7.00,1007.63,67,260,29.65,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-23-2019,10:00:00,22.4,30.5,990.81,0.0,12.00,1007.00,62,000,27.14,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-23-2019,10:00:00,24.8,30.5,1001.86,0.0,10.00,1007.03,72,000,31.31,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.40,07-23-2019,10:00:00,25.4,31.0,992.76,0.0,12.00,1005.76,72,000,32.34,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.01,07-23-2019,10:00:00,25.0,30.0,997.99,0.0,12.00,1007.23,75,000,31.72,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-23-2019,10:00:00,25.5,30.4,985.41,5.6,9.00,1006.85,75,240,32.55,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-23-2019,10:00:00,26.1,31.0,990.06,0.0,10.00,1007.33,75,000,33.81,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.10,07-23-2019,10:00:00,24.4,28.0,990.73,9.3,12.00,1006.50,81,210,30.56,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,07-23-2019,10:00:00,26.0,31.5,987.24,0.0,10.00,1005.82,73,000,33.70,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.60,07-23-2019,10:00:00,22.6,27.0,957.86,0.0,11.00,1008.96,77,000,27.36,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-23-2019,10:00:00,24.8,31.2,1003.05,11.1,8.00,1006.95,69,200,31.31,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.40,07-23-2019,10:00:00,21.7,23.8,913.52,11.1,6.00,1008.01,88,200,25.92,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-23-2019,10:00:00,25.7,29.5,990.98,5.6,8.00,1006.83,80,240,33.00,0.00
