WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,WindDirection,AirTemperature,StationPressure,Rainfall,WindSpeed,DewPoint,VaporPressure,RelativeHumidity,MeanSeaLevelPressure
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-24-2019,04:00:00,5.00,000,24.2,997.93,0.00,0.0,21.6,25.84,86,1014.18
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-24-2019,04:00:00,8.00,000,26.0,1008.98,0.00,0.0,23.1,28.18,84,1013.05
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.50,09-24-2019,04:00:00,7.00,000,24.5,1003.16,0.00,0.0,22.7,27.60,90,1014.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.40,09-24-2019,04:00:00,7.00,360,25.5,1011.56,0.60,3.7,23.7,29.38,90,1013.51
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-24-2019,04:00:00,7.00,040,25.2,992.91,0.00,9.3,21.1,25.02,78,1014.04
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-24-2019,04:00:00,10.00,040,23.0,995.92,0.00,9.3,20.7,24.39,87,1013.94
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-24-2019,04:00:00,10.00,000,23.5,997.25,0.00,0.0,21.2,25.19,87,1013.70
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,2.00,09-24-2019,04:00:00,8.00,050,23.9,998.96,0.00,3.7,20.0,23.42,79,1013.22
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.60,09-24-2019,04:00:00,7.00,000,24.3,998.67,0.00,0.0,21.6,25.76,85,1013.73
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,4.30,09-24-2019,04:00:00,6.00,050,24.5,998.71,0.00,9.3,21.3,25.35,82,1013.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.40,09-24-2019,04:00:00,7.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",25.4,1010.19,0.10,0.0,23.8,29.46,91,1013.24
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-24-2019,04:00:00,7.00,000,25.5,1004.98,0.00,0.0,22.5,27.29,84,1013.02
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.80,09-24-2019,04:00:00,6.00,000,25.1,1011.47,0.00,0.0,24.2,30.23,95,1012.60
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-24-2019,04:00:00,8.00,000,24.8,997.21,0.00,0.0,22.1,26.60,85,1012.08
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,31.30,09-24-2019,04:00:00,.10,070,18.8,877.86,0.00,9.3,18.6,21.46,99,1014.09
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-24-2019,04:00:00,5.00,000,25.1,1007.26,0.00,0.0,24.2,30.23,95,1013.21
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.20,09-24-2019,04:00:00,6.00,000,24.6,1011.79,0.00,0.0,24.3,30.38,98,1012.61
