WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,DewPoint,Rainfall,AirTemperature,VaporPressure,LandVisibility,WindSpeed,WindDirection,RelativeHumidity,Rainfall24Hr
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1005.76,08-11-2019,10:00:00,993.57,25.5,0.00,28.3,32.55,10.00,0.0,000,85,7.80
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.46,08-11-2019,10:00:00,1004.75,24.8,0.00,29.5,31.28,10.00,9.3,160,76,3.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.08,08-11-2019,10:00:00,1003.67,25.7,0.00,30.1,33.08,10.00,11.1,190,78,0.30
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.02,08-11-2019,10:00:00,1006.51,26.0,0.01,29.5,33.58,8.00,18.5,240,81,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.07,08-11-2019,10:00:00,1000.96,24.7,0.00,29.7,31.12,11.00,7.4,190,75,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.78,08-11-2019,10:00:00,1006.38,26.6,0.01,29.8,34.80,8.00,9.3,220,83,0.70
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.02,08-11-2019,10:00:00,1004.27,25.2,0.00,29.5,32.13,8.00,11.1,200,78,3.50
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.77,08-11-2019,10:00:00,1005.99,24.9,0.40,28.6,31.46,10.00,11.1,170,80,7.30
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.83,08-11-2019,10:00:00,1007.38,26.6,0.70,27.2,34.89,7.00,3.7,210,97,49.10
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.31,08-11-2019,10:00:00,1007.63,24.5,0.70,25.8,30.73,7.00,0.0,000,93,22.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.81,08-11-2019,10:00:00,1006.28,24.2,6.60,26.8,30.18,8.00,0.0,000,86,19.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.52,08-11-2019,10:00:00,1007.60,23.7,15.20,25.2,29.36,10.00,3.7,190,92,34.10
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.71,08-11-2019,10:00:00,1006.03,24.4,0.01,29.4,30.52,10.00,5.6,260,74,0.01
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.71,08-11-2019,10:00:00,1007.91,25.8,0.01,27.6,33.13,9.00,7.4,190,90,2.20
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.70,08-11-2019,10:00:00,1007.07,23.9,0.00,30.8,29.65,12.00,9.3,150,67,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.82,08-11-2019,10:00:00,1007.42,26.4,0.00,29.8,34.51,10.00,25.9,210,82,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.85,08-11-2019,10:00:00,1005.69,24.5,0.00,31.1,30.82,6.00,3.7,230,68,0.01
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.68,08-11-2019,10:00:00,1008.07,23.6,0.00,28.0,29.19,10.00,0.0,000,77,0.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.98,08-11-2019,10:00:00,1005.48,25.1,4.80,26.0,31.93,7.00,7.4,210,95,9.30
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.35,08-11-2019,10:00:00,1007.00,24.2,0.00,27.8,30.17,9.00,13.0,270,81,10.70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.36,08-11-2019,10:00:00,1007.47,24.8,9.50,25.4,31.33,9.00,0.0,000,97,13.40
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.07,08-11-2019,10:00:00,1004.53,25.9,0.30,28.3,33.41,10.00,7.4,240,87,4.50
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.11,08-11-2019,10:00:00,1007.68,25.2,1.60,29.6,32.05,10.00,9.3,240,77,2.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.10,08-11-2019,10:00:00,1007.12,24.9,0.20,29.7,31.40,10.00,11.1,280,75,4.40
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.68,08-11-2019,10:00:00,1007.87,26.1,0.00,30.2,33.88,10.00,16.7,270,79,1.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.89,08-11-2019,10:00:00,1007.07,25.6,0.00,27.2,32.89,10.00,9.3,150,91,23.40
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.81,08-11-2019,10:00:00,1008.06,23.7,0.90,27.8,29.36,12.00,5.6,230,79,12.70
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1009.36,08-11-2019,10:00:00,1005.37,24.2,0.20,27.5,30.15,10.00,7.4,220,82,17.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.71,08-11-2019,10:00:00,1008.03,24.5,0.00,28.4,30.78,10.00,7.4,250,80,54.70
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.52,08-11-2019,10:00:00,1008.40,24.2,0.60,28.2,30.12,10.00,0.0,000,79,12.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.15,08-11-2019,10:00:00,1006.24,25.0,0.01,28.3,31.70,10.00,0.0,000,82,35.40
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.53,08-11-2019,10:00:00,1007.85,25.9,0.90,29.8,33.33,12.00,0.0,000,79,31.40
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1009.18,08-11-2019,10:00:00,1005.08,24.4,1.20,29.0,30.57,10.00,5.6,050,76,9.10
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.43,08-11-2019,10:00:00,1008.84,22.2,0.00,29.7,26.72,12.00,9.3,150,64,0.20
