WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,LandVisibility,AirTemperature,RelativeHumidity,Rainfall,DewPoint,StationPressure,Rainfall24Hr,WindDirection
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-07-2019,22:00:00,29.28,1012.61,5.00,27.9,78,0.00,23.7,1011.85,3.80,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.3,10-07-2019,22:00:00,30.32,1012.35,9.00,25.0,96,1.30,24.3,1011.64,1.70,050
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,10-07-2019,22:00:00,29.70,1012.32,10.00,26.4,86,0.30,23.9,1011.61,0.40,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,10-07-2019,22:00:00,29.21,1012.75,6.00,25.7,89,0.01,23.7,991.38,0.01,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,10-07-2019,22:00:00,29.74,1012.63,7.00,25.7,90,0.00,23.9,995.75,0.00,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,10-07-2019,22:00:00,30.69,1012.84,7.00,25.2,96,0.00,24.5,996.22,1.50,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-07-2019,22:00:00,28.59,1012.58,6.00,25.5,88,0.00,23.3,990.50,0.01,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,7.4,10-07-2019,22:00:00,25.43,1012.81,6.00,25.0,80,0.00,21.4,969.04,0.00,070
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.7,10-07-2019,22:00:00,28.47,1012.46,10.00,24.7,92,0.00,23.2,991.63,5.70,140
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,10-07-2019,22:00:00,30.73,1014.04,7.00,24.5,100,0.40,24.5,992.91,16.50,230
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-07-2019,22:00:00,30.82,1012.96,10.00,28.7,78,0.00,24.5,1012.53,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-07-2019,22:00:00,28.89,1012.27,8.00,24.5,94,1.00,23.5,1010.84,7.30,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-07-2019,22:00:00,30.48,1012.43,8.00,24.8,97,0.00,24.4,1007.44,26.00,000
