WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,WindSpeed,RelativeHumidity,StationPressure,Rainfall24Hr,AirTemperature,Rainfall,LandVisibility,WindDirection,DewPoint
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1007.34,08-17-2019,04:00:00,30.59,7.4,89,990.86,0.00,26.3,0.00,6.00,180,24.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1006.62,08-17-2019,04:00:00,26.19,0.0,81,984.66,0.10,25.3,0.10,10.00,000,21.9
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1007.09,08-17-2019,04:00:00,29.41,0.0,96,963.49,13.50,24.5,6.00,5.00,000,23.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1006.37,08-17-2019,04:00:00,28.67,3.7,80,985.82,0.00,27.0,0.00,10.00,140,23.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1007.99,08-17-2019,04:00:00,31.60,16.7,92,987.11,0.00,26.4,0.00,8.00,200,25.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.70,08-17-2019,04:00:00,29.37,5.6,83,1006.27,0.01,26.8,0.00,10.00,310,23.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.91,08-17-2019,04:00:00,30.07,0.0,93,1005.48,0.00,25.3,0.00,6.00,000,24.1
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1006.90,08-17-2019,04:00:00,31.25,0.0,96,1001.94,15.70,25.5,0.50,7.00,000,24.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.73,08-17-2019,04:00:00,29.69,0.0,81,1003.45,0.00,27.4,0.00,10.00,000,23.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.44,08-17-2019,04:00:00,31.55,1.9,90,1005.33,0.01,26.8,0.01,5.00,230,24.9
