WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,VaporPressure,RelativeHumidity,WindDirection,DewPoint,StationPressure,Rainfall24Hr,LandVisibility,WindSpeed,MeanSeaLevelPressure
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.2,10-05-2019,10:00:00,0.00,30.12,79,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.2,1009.45,0.00,8.00,0.0,1012.47
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.9,10-05-2019,10:00:00,0.00,30.10,76,250,24.1,1004.86,0.00,10.00,5.6,1012.81
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.0,10-05-2019,10:00:00,0.00,32.01,75,070,25.2,1011.29,0.00,8.00,5.6,1012.39
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.4,10-05-2019,10:00:00,0.00,25.99,71,000,21.7,998.36,0.00,8.00,0.0,1013.12
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.6,10-05-2019,10:00:00,0.00,22.72,78,050,19.5,877.37,40.40,8.00,1.9,1011.21
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.0,10-05-2019,10:00:00,0.00,31.15,73,070,24.7,1007.53,0.00,8.00,3.7,1013.39
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.2,10-05-2019,10:00:00,0.00,33.88,79,060,26.1,1011.39,31.40,8.00,5.6,1012.19
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.4,10-05-2019,10:00:00,0.00,32.26,74,120,25.3,1011.34,0.00,10.00,7.4,1011.79
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,28.8,10-05-2019,10:00:00,0.00,29.90,76,000,24.0,1001.26,0.40,10.00,0.0,1012.56
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.1,10-05-2019,10:00:00,0.00,31.07,73,000,24.7,1011.69,0.00,8.00,0.0,1012.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.4,10-05-2019,10:00:00,0.00,31.36,77,050,24.8,1010.76,1.00,9.00,3.7,1012.58
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.1,10-05-2019,10:00:00,0.00,29.65,74,000,23.9,1011.71,0.00,9.00,0.0,1012.47
