WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,RelativeHumidity,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,StationPressure,VaporPressure,WindDirection
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.1,09-25-2019,04:00:00,0.0,96,0.00,24.8,1.00,1014.23,5.00,1010.14,29.95,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,20.7,09-25-2019,04:00:00,0.0,83,0.00,23.8,0.50,1014.80,6.00,1003.93,24.46,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.2,09-25-2019,04:00:00,3.7,94,0.00,25.2,0.30,1014.23,9.00,1012.27,30.15,330
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,20.8,09-25-2019,04:00:00,0.0,79,0.00,24.8,0.00,1014.63,8.00,993.46,24.61,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,20.4,09-25-2019,04:00:00,9.3,83,0.00,23.5,0.00,1014.18,10.00,996.19,23.99,020
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,20.8,09-25-2019,04:00:00,5.6,84,0.00,23.7,0.00,1014.09,10.00,997.64,24.54,010
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,20.1,09-25-2019,04:00:00,0.0,79,0.00,24.0,0.00,1013.45,10.00,999.18,23.58,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,20.5,09-25-2019,04:00:00,0.0,81,0.00,24.0,0.00,1014.27,7.00,999.19,24.06,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,20.8,09-25-2019,04:00:00,9.3,80,0.00,24.5,0.00,1014.36,7.00,999.46,24.61,040
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.1,09-25-2019,04:00:00,0.0,93,0.00,25.3,0.00,1013.54,7.00,1010.48,30.07,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,21.6,09-25-2019,04:00:00,0.0,85,0.00,24.3,0.00,1014.05,8.00,1005.97,25.76,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.5,09-25-2019,04:00:00,5.6,90,0.00,25.3,0.00,1013.09,7.00,1011.97,29.01,360
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,23.2,09-25-2019,04:00:00,0.0,93,0.00,24.4,0.00,1013.44,8.00,998.53,28.45,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,17.5,09-25-2019,04:00:00,7.4,98,0.00,17.8,0.00,1015.44,3.00,878.60,19.94,030
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,22.7,09-25-2019,04:00:00,0.0,94,0.00,23.7,0.00,1014.13,7.00,1008.14,27.50,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.1,09-25-2019,04:00:00,0.0,92,0.00,26.5,0.00,1013.44,7.00,1012.63,31.79,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.7,09-25-2019,04:00:00,0.0,79,0.00,27.8,0.00,1010.93,10.00,1010.48,29.36,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,21.9,09-25-2019,04:00:00,0.0,96,0.00,22.7,0.50,1014.09,4.00,1002.55,26.33,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.2,09-25-2019,04:00:00,3.7,84,0.00,26.1,0.20,1013.30,6.00,1012.28,28.36,040
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.1,09-25-2019,04:00:00,0.0,88,0.00,25.2,0.40,1013.60,8.00,1011.75,28.31,000
