WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,AirTemperature,VaporPressure,WindDirection,RelativeHumidity
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-16-2019,16:00:00,997.85,25.1,10.00,1003.47,0.00,0.0,34.7,31.96,000,58
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-16-2019,16:00:00,997.40,23.5,12.00,1003.43,1.00,7.4,34.0,29.00,250,55
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-16-2019,16:00:00,987.99,21.6,12.00,1003.93,0.00,0.0,35.5,25.78,000,45
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-16-2019,16:00:00,979.83,19.4,12.00,1001.49,0.00,9.3,34.5,22.51,080,41
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-16-2019,16:00:00,990.42,24.7,7.00,1004.43,0.40,0.0,34.2,31.17,000,58
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-16-2019,16:00:00,987.61,21.9,10.00,1003.57,0.00,7.4,33.8,26.34,120,50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-16-2019,16:00:00,998.88,24.6,10.00,1003.98,0.00,3.7,33.5,30.87,170,60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-16-2019,16:00:00,989.75,23.6,12.00,1002.54,1.40,0.0,35.0,29.05,000,52
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-16-2019,16:00:00,994.87,22.4,12.00,1003.94,0.00,1.9,34.7,27.00,150,49
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-16-2019,16:00:00,982.51,22.6,12.00,1003.62,0.00,5.6,34.2,27.41,030,51
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-16-2019,16:00:00,986.47,24.2,12.00,1003.53,0.00,5.6,33.7,30.12,120,58
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-16-2019,16:00:00,987.93,22.6,12.00,1003.38,0.00,5.6,33.5,27.43,070,53
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-16-2019,16:00:00,984.46,23.7,10.00,1002.81,0.00,3.7,34.6,29.38,030,53
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-16-2019,16:00:00,954.70,21.8,12.00,1004.70,0.00,0.0,32.5,26.04,000,53
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-16-2019,16:00:00,999.61,23.6,9.00,1003.45,0.40,5.6,34.9,29.13,070,52
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-16-2019,16:00:00,910.90,18.7,9.00,1003.79,0.00,7.4,27.9,21.59,080,57
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-16-2019,16:00:00,987.86,26.5,10.00,1003.48,0.00,5.6,33.0,34.57,090,69
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-16-2019,16:00:00,1000.19,24.8,10.00,1004.12,0.00,7.4,33.7,31.29,210,60
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-16-2019,16:00:00,994.11,25.3,10.00,1004.52,0.00,7.4,33.7,32.18,240,62
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-16-2019,16:00:00,1002.25,24.6,11.00,1004.15,12.60,0.0,31.0,30.90,000,69
