WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,DewPoint,AirTemperature,MeanSeaLevelPressure,StationPressure,WindSpeed,Rainfall,Rainfall24Hr,RelativeHumidity,VaporPressure
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,09-22-2019,10:00:00,130,23.3,26.7,1013.57,999.44,3.7,0.00,4.80,82,28.65
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.00,09-22-2019,10:00:00,000,23.9,26.5,1013.84,998.89,0.0,0.00,0.40,86,29.62
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.00,09-22-2019,10:00:00,190,24.4,26.3,1013.46,998.67,3.7,0.00,28.40,89,30.59
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,09-22-2019,10:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.1,28.8,1012.03,1009.01,0.0,0.00,8.30,80,31.86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,09-22-2019,10:00:00,010,22.6,30.8,1012.08,1004.19,18.5,0.00,2.20,62,27.43
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,{'@attributes': {'Unit': 'km'}},09-22-2019,10:00:00,050,25.2,29.3,1011.96,1010.85,13.0,0.00,14.50,79,32.01
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,09-22-2019,10:00:00,000,24.8,28.8,1013.15,998.46,0.0,0.00,0.00,79,31.29
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,09-22-2019,10:00:00,050,17.8,18.0,1012.90,876.48,11.1,2.20,37.20,99,20.41
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,09-22-2019,10:00:00,050,22.7,30.0,1012.44,1006.58,9.3,0.00,9.60,65,27.55
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,09-22-2019,10:00:00,090,25.7,26.8,1012.07,1011.26,3.7,0.01,41.80,94,32.94
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,09-22-2019,10:00:00,120,24.4,26.3,1012.10,1011.65,9.3,2.90,9.40,89,30.59
