WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,DewPoint,LandVisibility,AirTemperature,Rainfall24Hr,WindDirection,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindSpeed
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-08-2019,10:00:00,27.68,22.8,12.00,31.5,0.00,060,998.92,1011.99,60,5.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-08-2019,10:00:00,28.67,23.3,12.00,30.3,10.20,010,1004.46,1013.74,66,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-08-2019,10:00:00,26.39,22.0,8.00,30.1,0.00,110,992.01,1013.62,62,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-08-2019,10:00:00,28.67,23.3,10.00,30.3,0.00,070,996.37,1013.80,66,5.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-08-2019,10:00:00,28.01,23.0,12.00,31.1,0.60,080,996.81,1012.51,62,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-08-2019,10:00:00,28.64,23.3,9.00,30.0,0.00,130,993.83,1012.63,68,3.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-08-2019,10:00:00,26.06,21.8,10.00,27.0,0.00,000,961.25,1012.53,73,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-08-2019,10:00:00,31.44,24.9,5.00,30.0,0.90,330,1009.40,1013.35,74,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-08-2019,10:00:00,22.39,19.3,8.00,24.0,4.00,060,918.65,1013.61,75,7.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-08-2019,10:00:00,28.45,23.2,9.00,28.9,1.10,030,997.17,1013.16,71,7.4
