WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,StationPressure,WindSpeed,Rainfall24Hr,VaporPressure,Rainfall,MeanSeaLevelPressure,WindDirection,LandVisibility,DewPoint
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.9,09-18-2019,22:00:00,71,987.68,0.0,0.00,28.45,0.00,1009.45,000,8.00,23.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.5,09-18-2019,22:00:00,75,966.54,5.6,0.00,27.47,0.00,1009.82,060,10.00,22.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.5,09-18-2019,22:00:00,80,989.40,0.0,0.00,27.77,0.00,1010.05,000,10.00,22.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.2,09-18-2019,22:00:00,100,990.72,0.0,0.00,32.04,0.00,1011.76,000,8.00,25.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.1,09-18-2019,22:00:00,76,1009.15,14.8,1.10,32.21,0.00,1009.58,190,10.00,25.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.2,09-18-2019,22:00:00,94,1008.58,0.0,7.50,30.15,0.00,1010.01,000,8.00,24.2
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.9,09-18-2019,22:00:00,95,1005.36,0.0,2.90,31.74,2.40,1010.33,000,7.00,25.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.1,09-18-2019,22:00:00,75,1006.07,5.6,0.00,31.93,0.00,1009.33,300,10.00,25.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.8,09-18-2019,22:00:00,79,1008.30,0.0,0.30,31.29,0.00,1009.40,000,10.00,24.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.5,09-18-2019,22:00:00,89,1009.73,0.0,16.90,30.70,16.00,1010.03,000,8.00,24.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.5,09-18-2019,22:00:00,96,1008.95,0.0,31.30,29.41,27.00,1009.44,000,10.00,23.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.2,09-18-2019,22:00:00,93,1008.77,0.0,3.80,29.89,3.00,1010.19,000,9.00,24.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.8,09-18-2019,22:00:00,97,1004.06,0.0,17.50,30.48,1.30,1012.16,000,10.00,24.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.3,09-18-2019,22:00:00,87,1009.34,0.0,0.40,31.69,0.40,1009.62,000,10.00,25.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.5,09-18-2019,22:00:00,90,1007.21,0.0,1.00,33.21,1.00,1010.35,000,10.00,25.8
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.6,09-18-2019,22:00:00,86,1003.14,0.0,0.00,31.72,0.00,1010.09,000,10.00,25.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.6,09-18-2019,22:00:00,97,1005.53,3.7,48.70,31.71,6.50,1011.17,060,6.00,25.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.5,09-18-2019,22:00:00,80,1008.65,7.4,0.10,33.00,0.00,1009.90,180,10.00,25.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.9,09-18-2019,22:00:00,78,1008.86,0.0,0.00,31.21,0.00,1009.29,000,11.00,24.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.6,09-18-2019,22:00:00,87,997.99,0.0,0.00,28.51,0.00,1010.35,000,8.00,23.2
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.2,09-18-2019,22:00:00,82,1008.96,14.8,0.00,29.58,0.00,1009.68,260,10.00,23.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.0,09-18-2019,22:00:00,80,1007.59,0.0,32.70,30.28,0.00,1010.03,000,7.00,24.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.4,09-18-2019,22:00:00,82,1009.41,11.1,3.00,31.62,0.00,1009.93,230,10.00,25.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.8,09-18-2019,22:00:00,87,1004.91,0.0,36.10,32.40,0.00,1010.06,000,8.00,25.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.8,09-18-2019,22:00:00,90,1010.05,0.0,0.00,31.82,0.00,1010.46,000,7.00,25.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.0,09-18-2019,22:00:00,96,1007.92,0.0,4.00,32.20,0.00,1010.71,000,8.00,25.3
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.7,09-18-2019,22:00:00,75,1009.96,3.7,0.00,26.31,0.00,1010.75,270,10.00,21.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.9,09-18-2019,22:00:00,94,1010.59,3.7,49.30,29.61,0.00,1011.05,050,6.00,23.9
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.9,09-18-2019,22:00:00,85,1010.85,3.7,1.50,28.26,0.00,1011.54,280,8.00,23.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.4,09-18-2019,22:00:00,87,1009.87,5.6,0.60,28.15,0.00,1011.41,260,6.00,23.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.0,09-18-2019,22:00:00,94,1011.88,5.6,55.70,29.79,0.40,1012.81,180,10.00,24.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.4,09-18-2019,22:00:00,97,1011.09,0.0,3.70,31.60,1.50,1011.78,000,10.00,25.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.2,09-18-2019,22:00:00,92,1011.30,1.9,0.00,29.36,0.00,1012.10,180,9.00,23.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.8,09-18-2019,22:00:00,93,1010.54,0.0,9.80,30.73,0.00,1011.18,000,10.00,24.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,26.9,09-18-2019,22:00:00,82,1011.36,0.0,0.20,29.02,0.00,1011.76,000,10.00,23.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.5,09-18-2019,22:00:00,92,1009.46,0.0,48.20,28.37,0.40,1013.73,000,5.00,23.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.1,09-18-2019,22:00:00,94,1010.60,3.7,0.40,28.19,0.40,1012.23,010,8.00,23.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.5,09-18-2019,22:00:00,96,1008.02,0.0,1.70,31.25,0.50,1011.52,000,6.00,24.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.6,09-18-2019,22:00:00,87,1010.30,0.0,0.00,28.51,0.00,1011.67,000,7.00,23.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.7,09-18-2019,22:00:00,96,1011.07,0.0,20.00,28.26,0.70,1011.97,000,10.00,23.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.5,09-18-2019,22:00:00,88,1008.14,0.0,29.00,28.59,0.00,1011.73,000,10.00,23.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.5,09-18-2019,22:00:00,80,1011.47,0.0,9.60,27.77,0.00,1011.91,000,10.00,22.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,26.0,09-18-2019,22:00:00,86,1010.45,7.4,31.30,28.97,1.60,1011.45,300,7.00,23.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.6,09-18-2019,22:00:00,89,1011.21,5.6,21.00,29.29,0.00,1012.03,100,10.00,23.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.6,09-18-2019,22:00:00,86,1010.43,0.0,0.20,28.25,0.00,1012.26,000,7.00,23.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.0,09-18-2019,22:00:00,88,1011.52,0.0,3.50,29.50,0.20,1012.28,000,5.00,23.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.9,09-18-2019,22:00:00,93,1008.46,0.0,0.80,29.34,0.60,1012.50,000,8.00,23.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.7,09-18-2019,22:00:00,94,1009.10,0.0,11.90,29.25,0.20,1009.79,000,7.00,23.7
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.9,09-18-2019,22:00:00,86,1010.95,0.0,0.20,28.78,0.20,1012.07,000,10.00,23.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.2,09-18-2019,22:00:00,96,1009.47,0.0,0.50,30.69,0.50,1012.43,000,10.00,24.5
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.6,09-18-2019,22:00:00,98,1011.21,0.0,10.30,30.38,2.00,1011.91,000,4.00,24.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.7,09-18-2019,22:00:00,92,1008.87,0.0,0.00,28.72,0.00,1013.05,000,6.00,23.4
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,25.7,09-18-2019,22:00:00,91,1011.76,0.0,2.80,30.01,0.00,1012.35,000,8.00,24.1
