WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,AirTemperature,VaporPressure,WindSpeed,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,StationPressure,MaximumTemperature,WindDirection,DewPoint
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-12-2019,19:00:00,90,26.5,31.24,0.0,0.00,8.00,1009.54,1006.76,33.0,000,24.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-12-2019,19:00:00,74,30.2,31.56,0.0,0.00,10.00,1008.52,1007.74,34.5,000,24.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-12-2019,19:00:00,87,28.0,32.80,0.0,0.90,8.00,1008.43,1007.98,31.8,000,25.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-12-2019,19:00:00,76,27.8,28.28,0.0,0.00,10.00,1008.36,1007.68,33.6,000,23.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-12-2019,19:00:00,78,28.6,30.34,5.6,0.00,9.00,1009.12,1007.60,34.8,030,24.3
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.00,10-12-2019,19:00:00,85,27.2,30.67,0.0,10.30,7.00,1008.45,1007.53,32.6,000,24.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-12-2019,19:00:00,77,29.3,31.45,5.6,0.00,10.00,1008.42,1007.74,31.7,300,24.9
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-12-2019,19:00:00,84,27.5,30.97,0.0,0.00,8.00,1008.08,1007.28,34.5,000,24.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-12-2019,19:00:00,81,28.8,32.14,0.0,0.00,10.00,1007.90,1007.26,33.2,000,25.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-12-2019,19:00:00,85,28.7,33.37,0.0,0.30,10.00,1007.96,1007.56,32.9,000,25.9
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-12-2019,19:00:00,89,27.5,32.64,0.0,0.00,6.00,1009.84,1005.63,32.7,000,25.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-12-2019,19:00:00,89,26.3,30.59,0.0,0.00,8.00,1008.24,1006.62,33.2,000,24.4
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-12-2019,19:00:00,88,26.5,30.43,0.0,1.40,8.00,1008.42,1004.94,33.5,000,24.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-12-2019,19:00:00,78,28.2,29.85,0.0,6.00,9.00,1007.72,1006.36,33.2,000,24.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-12-2019,19:00:00,85,28.0,31.95,0.0,0.00,10.00,1007.57,1006.68,32.0,000,25.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-12-2019,19:00:00,82,27.4,29.96,0.0,0.00,10.00,1008.27,1004.71,32.7,000,24.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-12-2019,19:00:00,78,29.3,31.73,0.0,0.80,10.00,1007.98,1007.55,33.5,000,25.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-12-2019,19:00:00,74,29.5,30.44,0.0,1.00,10.00,1007.76,1006.77,32.3,000,24.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-12-2019,19:00:00,78,27.5,28.80,5.6,0.00,10.00,1008.70,1007.89,31.5,090,23.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-12-2019,19:00:00,92,26.6,31.99,0.0,4.10,11.00,1008.69,1006.87,33.3,000,25.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-12-2019,19:00:00,74,29.3,30.04,0.0,0.00,10.00,1008.11,1007.36,31.8,000,24.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,10-12-2019,19:00:00,84,27.6,31.16,3.7,1.60,10.00,1008.55,1004.56,34.4,990,24.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-12-2019,19:00:00,85,28.0,31.95,0.0,0.00,10.00,1009.69,1009.01,32.0,000,25.1
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-12-2019,19:00:00,80,28.8,31.57,0.0,3.40,10.00,1007.73,1006.62,32.0,000,24.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-12-2019,19:00:00,88,27.9,32.88,3.7,0.00,10.00,1008.55,1005.64,33.4,210,25.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-12-2019,19:00:00,78,28.6,30.34,0.0,0.00,10.00,1008.11,1007.43,33.3,000,24.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,10-12-2019,19:00:00,79,27.8,29.63,0.0,0.00,8.00,1008.90,1004.78,34.2,000,23.9
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-12-2019,19:00:00,67,30.6,29.25,13.0,0.00,10.00,1008.07,1007.49,33.2,020,23.7
