WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindDirection,DewPoint,Rainfall24Hr,WindSpeed,RelativeHumidity,LandVisibility,Rainfall,MeanSeaLevelPressure,VaporPressure
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.5,09-27-2019,04:00:00,1003.58,000,22.3,0.00,0.0,87,7.00,0.00,1014.42,26.84
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.0,09-27-2019,04:00:00,1012.75,000,23.8,0.00,0.0,83,4.00,0.00,1014.69,29.48
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.3,09-27-2019,04:00:00,993.40,030,22.2,0.00,3.7,83,7.00,0.00,1014.53,26.69
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.5,09-27-2019,04:00:00,996.29,060,20.4,0.00,7.4,83,10.00,0.00,1014.29,23.99
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.2,09-27-2019,04:00:00,997.56,070,21.2,0.00,9.3,83,10.00,0.00,1013.98,25.10
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.8,09-27-2019,04:00:00,999.77,000,21.3,0.00,0.0,81,10.00,0.00,1014.00,25.35
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.8,09-27-2019,04:00:00,999.28,000,21.3,0.00,0.0,81,10.00,0.00,1014.33,25.35
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.4,09-27-2019,04:00:00,998.93,060,22.6,0.00,3.7,84,8.00,0.00,1013.78,27.38
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.3,09-27-2019,04:00:00,1009.93,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.6,0.00,0.0,90,6.00,0.00,1012.97,30.86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.3,09-27-2019,04:00:00,1005.70,000,23.8,0.00,0.0,92,7.00,0.00,1013.75,29.54
