WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,WindDirection,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,LandVisibility,StationPressure,Rainfall,Rainfall24Hr
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.4,07-10-2019,22:00:00,90,000,24.7,1010.43,0.0,31.05,10.00,1009.55,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.0,07-10-2019,22:00:00,89,000,25.0,1010.80,0.0,31.66,10.00,1007.23,0.00,1.50
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.5,07-10-2019,22:00:00,82,000,25.1,1010.63,0.0,31.82,10.00,1010.19,0.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,28.0,07-10-2019,22:00:00,87,090,25.6,1010.08,3.7,32.80,10.00,1009.09,0.00,6.40
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.4,07-10-2019,22:00:00,79,100,22.6,1010.87,5.6,27.33,10.00,1010.05,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.5,07-10-2019,22:00:00,85,000,24.8,1011.00,0.0,31.25,10.00,1009.18,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.5,07-10-2019,22:00:00,84,000,24.6,1011.10,0.0,30.97,10.00,1010.35,0.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.5,07-10-2019,22:00:00,95,990,24.6,1011.53,3.7,30.98,10.00,1007.50,0.00,4.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,27.8,07-10-2019,22:00:00,81,000,24.2,1011.90,0.0,30.17,10.00,1011.22,0.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.3,07-10-2019,22:00:00,93,000,24.1,1010.91,0.0,30.07,10.00,1009.78,0.00,4.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.7,07-10-2019,22:00:00,94,000,24.7,1011.71,0.0,31.08,10.00,1008.77,0.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.8,07-10-2019,22:00:00,86,000,25.2,1010.84,0.0,32.12,7.00,1010.16,0.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.6,07-10-2019,22:00:00,91,270,22.1,1011.58,5.6,26.58,7.00,1007.39,0.20,2.80
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,27.5,07-10-2019,22:00:00,83,000,24.3,1011.39,0.0,30.42,10.00,1010.80,0.00,0.00
