WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,WindSpeed,VaporPressure,RelativeHumidity,AirTemperature,Rainfall24Hr,LandVisibility,DewPoint,StationPressure,WindDirection
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-29-2019,10:00:00,1006.90,11.1,32.26,81,29.0,21.70,14.00,25.3,1005.65,320
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-29-2019,10:00:00,1006.55,0.0,28.12,65,30.3,1.60,11.00,23.0,1006.13,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-29-2019,10:00:00,1006.92,0.0,29.74,74,29.0,0.00,9.00,23.9,994.75,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-29-2019,10:00:00,1006.75,3.7,30.87,73,30.0,0.00,10.00,24.6,1006.04,240
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-29-2019,10:00:00,1006.22,11.1,29.79,63,32.0,0.01,10.00,24.0,1003.83,250
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.70,08-29-2019,10:00:00,1006.54,11.1,31.95,85,28.0,0.70,10.00,25.1,1006.02,290
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-29-2019,10:00:00,1006.10,11.1,28.91,68,30.0,0.01,11.00,23.5,1001.00,260
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-29-2019,10:00:00,1007.16,0.0,30.46,77,28.8,9.00,8.00,24.3,1006.75,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-29-2019,10:00:00,1006.78,0.0,31.45,77,29.3,14.40,8.00,24.9,1004.03,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.60,08-29-2019,10:00:00,1007.86,3.7,29.10,83,26.8,3.60,10.00,23.6,1007.07,250
48501,TRAD,ตราด,ตราด,11.76667,102.88333,2.30,08-29-2019,10:00:00,1006.64,5.6,31.66,89,27.0,11.00,3.00,25.0,1006.18,300
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.60,08-29-2019,10:00:00,1008.74,5.6,29.52,93,25.0,7.90,8.00,23.8,1008.05,270
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,9.40,08-29-2019,10:00:00,1009.22,0.0,30.43,88,26.5,10.00,7.00,24.3,1007.69,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.20,08-29-2019,10:00:00,1009.66,7.4,28.89,94,24.5,26.00,8.00,23.5,1008.73,300
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-29-2019,10:00:00,1008.93,9.3,30.37,76,28.9,0.00,10.00,24.3,1008.25,240
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.10,08-29-2019,10:00:00,1009.80,5.6,33.82,91,27.8,0.40,10.00,26.1,1009.00,170
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-29-2019,10:00:00,1008.60,0.0,31.86,80,28.8,4.90,10.00,25.1,1007.97,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-29-2019,10:00:00,1009.00,7.4,33.53,90,27.8,9.70,10.00,26.0,1008.60,180
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-29-2019,10:00:00,1011.67,7.4,29.49,72,29.3,0.10,5.00,23.8,1007.47,270
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.60,08-29-2019,10:00:00,1010.02,0.0,30.97,89,26.5,9.00,10.00,24.6,1008.41,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1.80,08-29-2019,10:00:00,1009.98,0.0,31.14,86,27.3,17.30,12.00,24.7,1006.50,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.01,08-29-2019,10:00:00,1009.99,5.6,30.78,84,27.4,9.60,7.00,24.5,1008.63,280
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-29-2019,10:00:00,1009.75,0.0,32.96,85,28.5,40.20,10.00,25.7,1008.87,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,8.20,08-29-2019,10:00:00,1009.67,0.0,32.20,96,26.0,44.20,10.00,25.3,1006.09,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-29-2019,10:00:00,1009.57,11.1,30.72,75,29.5,14.40,10.00,24.5,1009.14,260
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-29-2019,10:00:00,1009.00,22.2,32.17,77,29.8,8.60,8.00,25.3,1008.02,260
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-29-2019,10:00:00,1009.74,14.8,34.74,88,28.8,1.20,10.00,26.6,1008.93,280
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.40,08-29-2019,10:00:00,1010.37,0.0,30.05,95,25.0,11.40,8.00,24.1,1008.53,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-29-2019,10:00:00,1010.03,5.6,31.00,75,29.5,0.00,10.00,24.6,1009.28,250
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-29-2019,10:00:00,1009.73,7.4,31.65,77,29.4,0.00,10.00,25.0,1005.76,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-29-2019,10:00:00,1011.07,0.0,33.50,81,29.6,5.40,10.00,25.9,1010.39,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-29-2019,10:00:00,1010.08,9.3,31.41,78,29.0,0.00,11.00,24.9,1008.96,230
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-29-2019,10:00:00,1010.27,0.0,33.45,85,28.6,0.00,12.00,25.9,1007.36,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-29-2019,10:00:00,1009.63,0.0,33.58,81,29.5,0.00,10.00,26.0,1008.95,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-29-2019,10:00:00,1010.39,5.6,29.33,75,28.5,0.00,9.00,23.7,1006.27,230
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-29-2019,10:00:00,1009.52,13.0,27.19,60,31.1,0.00,10.00,22.5,1008.94,260
